Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -591.158     -595.014        3.857   233.1
0.1000         -595.760     -609.754       13.994   845.8
0.1500         -620.613     -623.419        2.807   169.6
0.2000         -631.501     -634.843        3.343   202.0
0.2500         -629.382     -633.267        3.886   234.9
0.3000         -632.913     -637.822        4.909   296.7
0.3500         -634.902     -645.301       10.399   628.5
0.4000         -666.659     -668.109        1.450    87.6
0.4500         -658.393     -663.094        4.702   284.2
0.5000         -663.221     -666.126        2.905   175.6
0.5500         -650.693     -661.910       11.217   678.0
0.6000         -680.885     -682.141        1.256    75.9
0.6500         -666.184     -672.940        6.756   408.3
0.7000         -676.951     -679.317        2.366   143.0
0.7500         -672.098     -676.484        4.386   265.1
0.8000         -680.276     -683.213        2.937   177.5
0.8500         -673.314     -676.789        3.475   210.0
0.9000         -671.655     -679.867        8.212   496.4
0.9500         -679.004     -681.517        2.513   151.9
1.0000         -674.651     -678.690        4.038   244.1
1.0500         -666.179     -671.658        5.478   331.1
1.1000         -664.088     -671.038        6.949   420.0
1.1500         -674.026     -677.036        3.010   181.9
1.2000         -669.506     -673.386        3.879   234.5
1.2500         -662.314     -666.811        4.496   271.7
1.3000         -661.324     -671.904       10.580   639.5
1.3500         -671.854     -673.693        1.838   111.1
1.4000         -668.179     -675.231        7.053   426.3
1.4500         -664.342     -667.929        3.587   216.8
1.5000         -662.931     -671.396        8.465   511.6
1.5500         -672.449     -674.885        2.435   147.2
1.6000         -671.532     -677.249        5.716   345.5
1.6500         -671.017     -674.384        3.368   203.5
1.7000         -671.493     -677.507        6.014   363.5
1.7500         -677.392     -681.020        3.628   219.3
1.8000         -677.597     -683.395        5.798   350.4
1.8500         -672.871     -675.911        3.040   183.7
1.9000         -677.615     -682.440        4.825   291.6
1.9500         -676.644     -680.153        3.510   212.1
2.0000         -679.293     -685.552        6.259   378.3
2.0500         -665.901     -671.509        5.607   338.9
2.1000         -676.920     -680.898        3.977   240.4
2.1500         -673.551     -677.342        3.791   229.1
2.2000         -677.810     -682.625        4.816   291.1
2.2500         -663.486     -672.345        8.859   535.4
2.3000         -674.336     -678.864        4.528   273.7
2.3500         -672.505     -676.906        4.401   266.0
2.4000         -678.896     -682.691        3.795   229.4
2.4500         -668.766     -675.102        6.336   382.9
2.5000         -676.046     -680.591        4.545   274.7
2.5500         -675.690     -680.268        4.579   276.7
2.6000         -682.057     -685.701        3.644   220.3
2.6500         -673.907     -680.492        6.585   398.0
2.7000         -681.055     -685.196        4.141   250.3
2.7500         -681.073     -685.191        4.118   248.9
2.8000         -680.618     -684.815        4.197   253.6
2.8500         -677.144     -683.347        6.204   374.9
2.9000         -681.386     -686.193        4.807   290.5
2.9500         -681.071     -684.689        3.618   218.7
3.0000         -673.308     -679.722        6.414   387.6
3.0500         -676.544     -680.730        4.185   253.0
3.1000         -677.687     -683.173        5.486   331.6
3.1500         -675.292     -680.078        4.786   289.3
3.2000         -669.720     -676.361        6.641   401.4
3.2500         -675.456     -678.701        3.245   196.1
3.3000         -676.571     -681.992        5.422   327.7
3.3500         -673.785     -679.003        5.217   315.3
3.4000         -674.779     -680.229        5.450   329.4
3.4500         -679.950     -681.964        2.014   121.7
3.5000         -677.987     -684.614        6.627   400.6
3.5500         -677.074     -682.726        5.652   341.6
3.6000         -681.533     -686.505        4.972   300.5
3.6500         -681.184     -684.724        3.540   213.9
3.7000         -677.983     -683.838        5.855   353.9
3.7500         -677.574     -683.660        6.086   367.8
3.8000         -683.876     -687.649        3.774   228.1
3.8500         -677.650     -682.690        5.040   304.6
3.9000         -675.084     -681.084        6.000   362.6
3.9500         -677.647     -681.825        4.178   252.5
4.0000         -681.758     -685.378        3.620   218.8
4.0500         -675.448     -680.883        5.435   328.5
4.1000         -673.944     -680.018        6.074   367.1
4.1500         -678.676     -683.012        4.336   262.1
4.2000         -679.960     -683.375        3.415   206.4
4.2500         -674.492     -681.063        6.571   397.2
4.3000         -675.832     -680.255        4.424   267.4
4.3500         -681.373     -685.358        3.986   240.9
4.4000         -676.826     -681.594        4.768   288.2
4.4500         -675.738     -681.216        5.478   331.1
4.5000         -675.611     -681.028        5.416   327.4
4.5500         -683.640     -686.751        3.112   188.1
4.6000         -674.970     -681.123        6.153   371.9
4.6500         -675.952     -680.810        4.858   293.6
4.7000         -674.768     -680.355        5.587   337.7
4.7500         -683.425     -686.332        2.907   175.7
4.8000         -675.209     -680.203        4.995   301.9
4.8500         -674.527     -680.404        5.878   355.3
4.9000         -674.557     -680.126        5.569   336.6
4.9500         -681.935     -685.846        3.911   236.4
5.0000         -676.431     -682.116        5.685   343.6
