,devi_force,config_index,file_path
2,0.137685576,20.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0001/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
103,0.193049801,20.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0001/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.001
204,0.16011475,20.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0001/temp_run_iter_work/explore/md/md.000.sys.001/md.000.sys.001.t.000
211,0.158068693,90.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0001/temp_run_iter_work/explore/md/md.000.sys.001/md.000.sys.001.t.000
305,0.147245156,20.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0001/temp_run_iter_work/explore/md/md.000.sys.001/md.000.sys.001.t.001
