Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -591.561     -595.812        4.252   257.0
0.1000         -590.503     -603.569       13.065   789.7
0.1500         -615.689     -618.876        3.187   192.6
0.2000         -627.797     -631.453        3.656   221.0
0.2500         -626.924     -630.220        3.296   199.2
0.3000         -628.512     -634.847        6.334   382.8
0.3500         -632.269     -641.983        9.714   587.1
0.4000         -664.978     -666.634        1.656   100.1
0.4500         -658.445     -662.344        3.898   235.6
0.5000         -661.155     -664.698        3.544   214.2
0.5500         -648.007     -660.020       12.013   726.1
0.6000         -682.285     -683.370        1.085    65.6
0.6500         -668.185     -674.042        5.857   354.0
0.7000         -675.958     -678.472        2.514   151.9
0.7500         -672.028     -676.744        4.716   285.0
0.8000         -679.464     -682.420        2.956   178.7
0.8500         -674.727     -678.220        3.493   211.1
0.9000         -671.430     -679.594        8.164   493.4
0.9500         -678.264     -681.297        3.034   183.3
1.0000         -672.384     -676.412        4.028   243.5
1.0500         -666.802     -670.863        4.061   245.4
1.1000         -661.460     -670.141        8.682   524.7
1.1500         -670.535     -673.799        3.264   197.3
1.2000         -663.936     -668.163        4.227   255.5
1.2500         -658.996     -664.003        5.006   302.6
1.3000         -659.785     -668.448        8.663   523.6
1.3500         -668.954     -671.095        2.141   129.4
1.4000         -664.930     -672.239        7.309   441.8
1.4500         -664.248     -667.069        2.821   170.5
1.5000         -663.130     -672.424        9.295   561.8
1.5500         -674.296     -675.916        1.621    98.0
1.6000         -669.665     -676.220        6.556   396.2
1.6500         -667.465     -671.939        4.475   270.4
1.7000         -672.399     -678.672        6.273   379.1
1.7500         -676.877     -679.958        3.081   186.2
1.8000         -674.387     -681.209        6.823   412.4
1.8500         -671.179     -675.251        4.072   246.1
1.9000         -680.771     -684.962        4.190   253.3
1.9500         -672.767     -676.359        3.592   217.1
2.0000         -672.075     -678.859        6.784   410.0
2.0500         -669.127     -674.985        5.858   354.1
2.1000         -680.916     -683.685        2.769   167.3
2.1500         -667.885     -673.715        5.830   352.4
2.2000         -672.082     -675.837        3.755   227.0
2.2500         -666.598     -673.510        6.912   417.8
2.3000         -677.877     -681.017        3.140   189.8
2.3500         -666.536     -672.983        6.448   389.7
2.4000         -674.786     -679.677        4.891   295.6
2.4500         -671.494     -675.039        3.545   214.3
2.5000         -677.042     -681.902        4.860   293.8
2.5500         -669.636     -675.680        6.044   365.3
2.6000         -683.347     -687.466        4.119   249.0
2.6500         -680.099     -684.681        4.582   276.9
2.7000         -675.370     -680.031        4.661   281.7
2.7500         -675.774     -680.631        4.857   293.6
2.8000         -679.644     -682.990        3.346   202.2
2.8500         -680.283     -684.840        4.557   275.4
2.9000         -668.508     -676.583        8.075   488.1
2.9500         -675.848     -679.369        3.521   212.8
3.0000         -673.677     -677.677        4.000   241.8
3.0500         -674.822     -679.615        4.793   289.7
3.1000         -668.764     -677.147        8.383   506.7
3.1500         -677.044     -680.019        2.976   179.9
3.2000         -670.494     -676.326        5.832   352.5
3.2500         -672.167     -678.149        5.982   361.5
3.3000         -677.544     -682.314        4.770   288.3
3.3500         -681.018     -683.517        2.500   151.1
3.4000         -671.875     -680.800        8.925   539.4
3.4500         -674.274     -678.437        4.163   251.6
3.5000         -682.832     -686.726        3.894   235.3
3.5500         -678.167     -681.243        3.076   185.9
3.6000         -676.465     -682.250        5.785   349.7
3.6500         -671.022     -677.774        6.752   408.1
3.7000         -683.497     -687.046        3.550   214.5
3.7500         -671.739     -677.089        5.350   323.3
3.8000         -677.009     -681.924        4.915   297.1
3.8500         -672.513     -676.961        4.448   268.8
3.9000         -682.669     -686.088        3.419   206.7
3.9500         -667.474     -674.574        7.100   429.1
4.0000         -677.267     -682.873        5.606   338.8
4.0500         -677.223     -680.653        3.429   207.3
4.1000         -683.381     -686.981        3.600   217.6
4.1500         -669.613     -675.890        6.277   379.4
4.2000         -676.477     -682.859        6.382   385.7
4.2500         -681.387     -684.879        3.492   211.1
4.3000         -681.752     -685.789        4.038   244.0
4.3500         -673.041     -678.620        5.580   337.2
4.4000         -673.285     -679.917        6.633   400.9
4.4500         -681.801     -685.024        3.223   194.8
4.5000         -676.084     -682.014        5.930   358.4
4.5500         -674.473     -680.077        5.604   338.7
4.6000         -674.459     -678.986        4.526   273.6
4.6500         -680.672     -683.959        3.287   198.7
4.7000         -672.213     -679.911        7.698   465.3
4.7500         -678.413     -683.588        5.175   312.8
4.8000         -680.515     -684.193        3.678   222.3
4.8500         -681.769     -685.489        3.720   224.9
4.9000         -673.248     -680.794        7.546   456.1
4.9500         -678.903     -684.356        5.453   329.6
5.0000         -685.190     -688.188        2.997   181.2
