,iter,index,max_devi_f,min_devi_f,avg_devi_f
169,,,0.09623711,0.009958145,0.02196643
170,,,0.04006503,0.007826468,0.01928597
171,,,0.04565875,0.005004173,0.01763429
172,,,0.03800143,0.00516642,0.01615734
173,,,0.03705816,0.005865013,0.01555658
174,,,0.03619495,0.005247448,0.01588819
175,,,0.0363278,0.006131457,0.01619546
176,,,0.0436872,0.006230707,0.01554864
177,,,0.03360191,0.004084029,0.01554705
178,,,0.0322311,0.005661893,0.01610632
179,,,0.02927513,0.003799263,0.01533895
180,,,0.03966009,0.007116024,0.01624336
181,,,0.0471135,0.006017903,0.01793101
182,,,0.04756753,0.005524536,0.01711356
183,,,0.0366246,0.008900662,0.01615392
184,,,0.03482181,0.004728106,0.01617595
185,,,0.03256896,0.007596037,0.01707605
186,,,0.04033638,0.005967117,0.01572955
187,,,0.0357592,0.006107673,0.01632659
188,,,0.03918735,0.008088509,0.01743994
189,,,0.04442196,0.004892591,0.01691661
190,,,0.03137934,0.005516088,0.01602509
191,,,0.03768547,0.005044734,0.01521402
192,,,0.02917539,0.00487734,0.01592112
193,,,0.04276616,0.007539015,0.0173187
194,,,0.04355765,0.006379667,0.01887292
195,,,0.03149162,0.006374063,0.01664127
196,,,0.03637678,0.006090383,0.01697287
197,,,0.03679651,0.006166884,0.01713735
198,,,0.03673023,0.008118851,0.01812509
199,,,0.04136333,0.007331051,0.01727119
200,,,0.0377581,0.005405158,0.01802537
201,,,0.03304937,0.006962863,0.01566828
202,,,0.03548304,0.004558276,0.01527061
203,,,0.03539847,0.004321851,0.01573256
204,,,0.03492966,0.006063113,0.01565543
205,,,0.0345356,0.007107688,0.01529458
206,,,0.03836555,0.008315361,0.01833887
207,,,0.04563597,0.006486356,0.01703809
208,,,0.03398616,0.007424845,0.01557672
209,,,0.03311106,0.003183141,0.01505372
210,,,0.0303893,0.003843227,0.01541856
211,,,0.03754036,0.006389996,0.01604256
212,,,0.03815838,0.005748913,0.01657287
213,,,0.0290546,0.00670601,0.01559377
214,,,0.03728762,0.005712543,0.01596041
215,,,0.03304164,0.006058713,0.01591517
216,,,0.02719496,0.005235935,0.01487326
217,,,0.04011382,0.005318922,0.01565111
218,,,0.03537511,0.006689497,0.01561844
219,,,0.04580588,0.005189669,0.01634089
220,,,0.04076367,0.007899835,0.01609513
221,,,0.03656587,0.006593573,0.01539433
222,,,0.03292438,0.00678158,0.01575974
223,,,0.03236404,0.00718845,0.01635288
224,,,0.03353457,0.006915653,0.01595213
225,,,0.04137208,0.006227764,0.01772164
226,,,0.0835123,0.005775387,0.01773675
227,,,0.06975512,0.006615926,0.01828932
228,,,0.04938898,0.007310481,0.01774554
229,,,0.0314688,0.006104048,0.01520826
230,,,0.03690027,0.006670279,0.01576583
231,,,0.03957886,0.005738463,0.01509947
232,,,0.04884836,0.00690571,0.01651527
233,,,0.04321673,0.00531556,0.01732589
234,,,0.04227735,0.007000036,0.01853694
235,,,0.03847082,0.005293979,0.0156158
236,,,0.04296411,0.004432624,0.01624921
237,,,0.03847154,0.007480455,0.01652267
238,,,0.05846476,0.007420186,0.01751141
239,,,0.0504113,0.007198783,0.01814791
240,,,0.0430098,0.008688393,0.01948561
241,,,0.07486539,0.007539778,0.01874211
242,,,0.03874017,0.00573464,0.01759814
243,,,0.03324253,0.005618252,0.01570683
244,,,0.03267804,0.005747752,0.01584184
245,,,0.03439835,0.004956108,0.01507034
246,,,0.03077076,0.005131551,0.01696916
247,,,0.05306487,0.00706075,0.01927594
248,,,0.04602586,0.007684164,0.01935805
249,,,0.05378678,0.005878955,0.01899804
250,,,0.05549911,0.006854586,0.01747852
251,,,0.04723224,0.006608076,0.01582833
252,,,0.02955693,0.005942573,0.01519923
253,,,0.07175575,0.007004944,0.01694378
254,,,0.05165028,0.004808165,0.01608524
255,,,0.03446302,0.005947766,0.01531767
256,,,0.02994546,0.005731026,0.01527922
257,,,0.05163201,0.006546118,0.01457205
258,,,0.03232472,0.004709791,0.0158673
259,,,0.02805694,0.00645469,0.01501198
260,,,0.03398349,0.006116949,0.01493391
261,,,0.0315294,0.004606874,0.01499051
262,,,0.04485407,0.006189995,0.0158809
263,,,0.03936012,0.004785129,0.01469764
264,,,0.03465846,0.007654024,0.0160679
265,,,0.03563666,0.005507725,0.01710483
266,,,0.0475377,0.005853535,0.01856582
267,,,0.05550527,0.007487171,0.02116409
268,,,0.04627618,0.00649573,0.02067366
269,,,0.04135057,0.005696073,0.01965397
270,,,0.03320047,0.005864914,0.01639221
271,,,0.03310287,0.004969535,0.01536504
272,,,0.03880681,0.004516706,0.01407557
273,,,0.03477908,0.004876156,0.01499823
274,,,0.04129573,0.005143135,0.01776901
275,,,0.04729357,0.006298944,0.01788004
276,,,0.0413616,0.007013767,0.01776995
277,,,0.05747901,0.006647384,0.01786642
278,,,0.05590791,0.008033719,0.01901073
279,,,0.03874963,0.008521035,0.01854096
280,,,0.04806491,0.007906298,0.01791117
281,,,0.04567335,0.007976304,0.0181632
282,,,0.04741451,0.007152162,0.01880222
283,,,0.04018992,0.006894963,0.01871929
284,,,0.04299185,0.007454962,0.01780791
285,,,0.03957263,0.004682758,0.01784587
286,,,0.04920218,0.008290549,0.02034233
287,,,0.04267888,0.008201491,0.0196184
288,,,0.04693825,0.006834815,0.01952798
289,,,0.05473817,0.007519588,0.0181116
290,,,0.03599708,0.007887756,0.01815162
291,,,0.04120081,0.006118927,0.01882728
292,,,0.02924869,0.006160782,0.01486475
293,,,0.03134027,0.005475078,0.01332423
294,,,0.02714256,0.006452335,0.01448231
295,,,0.04009555,0.005790923,0.01553517
296,,,0.03027077,0.004868605,0.01428536
297,,,0.04923045,0.004904961,0.01439078
298,,,0.05231071,0.005666635,0.01543449
299,,,0.02563289,0.006254629,0.01484418
300,,,0.03681648,0.007620254,0.01534421
301,,,0.04508596,0.005646115,0.01530944
302,,,0.03123971,0.006291517,0.01576232
303,,,0.04111234,0.00721986,0.01657349
304,,,0.03484197,0.007045474,0.01545885
305,,,0.03736886,0.006526056,0.01537488
306,,,0.05852126,0.00471809,0.01615527
307,,,0.03025532,0.006669435,0.01572224
308,,,0.03679222,0.007112819,0.01517282
309,,,0.04305475,0.006375804,0.01632126
310,,,0.04251595,0.005221671,0.01597086
311,,,0.03274368,0.006302899,0.01453697
312,,,0.0349712,0.006108004,0.01715255
313,,,0.05800147,0.007604152,0.01813965
314,,,0.04235591,0.007256101,0.01909451
315,,,0.04202188,0.007200286,0.01890362
316,,,0.0543446,0.007382217,0.01856942
317,,,0.04940124,0.005714604,0.01699777
318,,,0.09371149,0.006086913,0.01662041
319,,,0.03289357,0.005947453,0.01471096
320,,,0.05622516,0.005727592,0.01643333
321,,,0.03961293,0.005580598,0.0171261
322,,,0.1015386,0.007504231,0.01885756
323,,,0.04130927,0.006438837,0.01676267
324,,,0.03950275,0.005625709,0.01547471
325,,,0.02908876,0.006310789,0.01541856
326,,,0.03690407,0.005075604,0.0163301
327,,,0.0525683,0.007814865,0.01711194
328,,,0.03526361,0.007714431,0.01731797
329,,,0.04191369,0.00667581,0.0162191
330,,,0.03479344,0.007731354,0.01540045
331,,,0.04492841,0.006700971,0.0154175
332,,,0.03241071,0.006445314,0.01605748
333,,,0.04373454,0.006970693,0.01532499
334,,,0.03974298,0.004616714,0.01617075
335,,,0.03144721,0.006580461,0.01703208
336,,,0.07366751,0.006054582,0.01800534
337,,,0.04003592,0.00570142,0.01606319
338,,,0.04685642,0.008582147,0.0169569
339,,,0.03041105,0.004085192,0.01510434
340,,,0.04124293,0.005424882,0.01514945
341,,,0.03172521,0.005807944,0.0162229
342,,,0.03902513,0.003974133,0.01664964
343,,,0.04140561,0.005644328,0.01884153
344,,,0.03690357,0.007243859,0.01773715
345,,,0.04486062,0.007091835,0.01606941
346,,,0.03237139,0.004761521,0.01658388
347,,,0.04270409,0.006191968,0.01805878
348,,,0.04683064,0.006477933,0.01954472
349,,,0.09373911,0.007802729,0.01986985
350,,,0.05999436,0.004454807,0.01712954
351,,,0.04270948,0.006228881,0.01607215
352,,,0.03237114,0.002846839,0.01525088
353,,,0.03325569,0.00523286,0.0144697
354,,,0.02760992,0.006884779,0.01473247
355,,,0.03166958,0.005841437,0.01480518
356,,,0.03786156,0.005461942,0.01510042
357,,,0.05489859,0.005041449,0.01641519
358,,,0.04822456,0.00530933,0.01670237
359,,,0.03779943,0.005173117,0.01655794
360,,,0.0292015,0.00526022,0.01539838
361,,,0.03247533,0.005225399,0.01513356
362,,,0.02913653,0.005303978,0.01460627
363,,,0.03677699,0.007164236,0.01699917
364,,,0.03582499,0.007757371,0.01861676
365,,,0.04293729,0.005859284,0.01668212
366,,,0.06159338,0.005989381,0.01855275
367,,,0.05240806,0.008001356,0.01769223
368,,,0.02971538,0.006092834,0.01550347
369,,,0.03569844,0.004290963,0.01662056
370,,,0.03082217,0.005694368,0.01562264
371,,,0.0385413,0.004799354,0.01606126
372,,,0.03685716,0.004431934,0.01653321
373,,,0.04274214,0.006834152,0.01691354
374,,,0.04059833,0.005883965,0.01647814
375,,,0.03402008,0.005845396,0.01681264
376,,,0.04048709,0.006027541,0.01638909
377,,,0.05209958,0.006633301,0.01616376
378,,,0.03514475,0.006847801,0.01573357
379,,,0.05729457,0.007178257,0.01661696
380,,,0.02859273,0.003139029,0.01437922
381,,,0.02781819,0.005637294,0.01505592
382,,,0.02964656,0.004788663,0.01474292
383,,,0.0295214,0.006860633,0.01472048
384,,,0.02911001,0.0043376,0.01576016
385,,,0.03680347,0.006360284,0.01561689
386,,,0.02810714,0.004524611,0.01476806
387,,,0.03111458,0.005969799,0.01429043
388,,,0.03242797,0.00476626,0.01500412
389,,,0.02844297,0.005693559,0.01446382
390,,,0.0284939,0.006487933,0.01402132
391,,,0.02827882,0.00672466,0.01446449
392,,,0.03100347,0.005275622,0.01358795
393,,,0.03724903,0.004750433,0.01476621
394,,,0.03725318,0.005886272,0.0157331
395,,,0.03265431,0.005970214,0.01642814
396,,,0.02824356,0.005521588,0.01483391
397,,,0.03072487,0.004668501,0.01504399
398,,,0.03863116,0.005218558,0.01628836
399,,,0.03791995,0.006456327,0.01591456
