Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -661.541     -666.221        4.680   282.9
0.1000         -652.698     -664.103       11.405   689.3
0.1500         -669.037     -672.196        3.159   190.9
0.2000         -673.081     -675.973        2.892   174.8
0.2500         -666.196     -673.019        6.823   412.4
0.3000         -667.950     -671.669        3.719   224.8
0.3500         -671.577     -678.543        6.967   421.1
0.4000         -679.632     -683.145        3.513   212.3
0.4500         -672.775     -679.260        6.485   392.0
0.5000         -674.268     -679.342        5.074   306.7
0.5500         -677.612     -681.069        3.457   209.0
0.6000         -681.446     -685.897        4.452   269.1
0.6500         -674.548     -681.647        7.099   429.1
0.7000         -679.828     -685.593        5.765   348.4
0.7500         -680.492     -683.340        2.848   172.2
0.8000         -682.205     -686.106        3.901   235.8
0.8500         -674.171     -682.888        8.717   526.8
0.9000         -681.740     -687.708        5.967   360.7
0.9500         -680.668     -682.858        2.189   132.3
1.0000         -680.590     -684.262        3.672   221.9
1.0500         -673.761     -680.472        6.712   405.7
1.1000         -681.433     -688.577        7.144   431.8
1.1500         -678.389     -681.760        3.370   203.7
1.2000         -677.695     -681.888        4.193   253.4
1.2500         -674.076     -678.406        4.330   261.7
1.3000         -681.622     -686.140        4.518   273.1
1.3500         -675.394     -681.782        6.388   386.1
1.4000         -675.664     -681.168        5.504   332.7
1.4500         -677.201     -679.996        2.795   168.9
1.5000         -679.334     -683.108        3.775   228.1
1.5500         -676.618     -682.964        6.346   383.5
1.6000         -673.048     -681.543        8.495   513.5
1.6500         -680.266     -683.236        2.970   179.5
1.7000         -677.033     -680.317        3.284   198.5
1.7500         -677.864     -682.788        4.924   297.6
1.8000         -674.862     -681.123        6.262   378.5
1.8500         -681.504     -686.719        5.215   315.2
1.9000         -676.835     -680.612        3.777   228.3
1.9500         -678.059     -683.385        5.326   321.9
2.0000         -678.373     -682.419        4.046   244.5
2.0500         -683.286     -688.038        4.752   287.2
2.1000         -675.588     -682.149        6.560   396.5
2.1500         -680.150     -683.537        3.387   204.7
2.2000         -679.964     -684.027        4.063   245.6
2.2500         -683.583     -687.521        3.939   238.1
2.3000         -674.794     -683.229        8.435   509.8
2.3500         -681.474     -685.145        3.671   221.9
2.4000         -679.805     -684.325        4.520   273.2
2.4500         -680.608     -684.314        3.707   224.0
2.5000         -675.527     -682.276        6.749   407.9
2.5500         -682.874     -685.946        3.072   185.7
2.6000         -676.499     -682.175        5.676   343.0
2.6500         -675.535     -680.727        5.192   313.8
2.7000         -673.861     -680.918        7.057   426.5
2.7500         -681.681     -684.673        2.992   180.8
2.8000         -676.019     -681.586        5.567   336.5
2.8500         -673.496     -678.273        4.777   288.7
2.9000         -673.781     -680.451        6.670   403.1
2.9500         -681.207     -683.794        2.587   156.4
3.0000         -675.318     -681.651        6.333   382.7
3.0500         -675.473     -679.640        4.167   251.8
3.1000         -675.009     -681.820        6.812   411.7
3.1500         -680.549     -683.641        3.091   186.8
3.2000         -674.099     -681.136        7.037   425.3
3.2500         -678.181     -681.833        3.652   220.7
3.3000         -677.737     -682.977        5.240   316.7
3.3500         -679.642     -684.305        4.663   281.8
3.4000         -673.718     -680.785        7.067   427.1
3.4500         -680.567     -684.206        3.639   220.0
3.5000         -679.036     -682.677        3.641   220.1
3.5500         -679.271     -684.182        4.911   296.8
3.6000         -673.878     -681.424        7.546   456.1
3.6500         -682.198     -686.794        4.596   277.8
3.7000         -677.804     -682.206        4.403   266.1
3.7500         -679.381     -683.639        4.258   257.4
3.8000         -675.456     -680.514        5.059   305.8
3.8500         -682.898     -687.789        4.891   295.6
3.9000         -676.130     -681.184        5.053   305.4
3.9500         -678.292     -684.492        6.201   374.8
4.0000         -677.489     -681.137        3.647   220.4
4.0500         -683.286     -688.132        4.846   292.9
4.1000         -673.892     -679.920        6.028   364.3
4.1500         -678.377     -684.258        5.881   355.4
4.2000         -678.807     -682.053        3.245   196.1
4.2500         -683.264     -687.128        3.864   233.6
4.3000         -673.771     -679.733        5.963   360.4
4.3500         -677.628     -684.235        6.607   399.3
4.4000         -680.017     -683.517        3.500   211.5
4.4500         -681.970     -685.825        3.855   233.0
4.5000         -673.434     -679.479        6.045   365.4
4.5500         -677.929     -683.855        5.926   358.1
4.6000         -680.532     -684.294        3.762   227.4
4.6500         -679.177     -683.386        4.209   254.4
4.7000         -674.161     -679.507        5.346   323.1
4.7500         -678.334     -683.693        5.359   323.9
4.8000         -679.013     -683.378        4.365   263.8
4.8500         -675.946     -680.846        4.900   296.2
4.9000         -675.899     -680.003        4.104   248.0
4.9500         -679.175     -684.050        4.875   294.7
5.0000         -678.639     -683.870        5.230   316.1
