Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -661.134     -666.383        5.248   317.2
0.1000         -653.915     -663.181        9.266   560.0
0.1500         -668.694     -671.402        2.708   163.7
0.2000         -671.684     -675.793        4.110   248.4
0.2500         -667.369     -672.891        5.522   333.7
0.3000         -670.238     -674.737        4.499   271.9
0.3500         -673.298     -678.713        5.415   327.3
0.4000         -674.756     -681.096        6.340   383.2
0.4500         -671.300     -677.336        6.036   364.8
0.5000         -679.053     -681.721        2.668   161.2
0.5500         -677.767     -681.413        3.646   220.4
0.6000         -676.418     -684.240        7.822   472.8
0.6500         -674.717     -680.759        6.043   365.2
0.7000         -681.554     -685.856        4.302   260.0
0.7500         -680.350     -682.878        2.528   152.8
0.8000         -678.780     -684.574        5.794   350.2
0.8500         -675.142     -681.980        6.838   413.3
0.9000         -684.127     -688.237        4.109   248.4
0.9500         -678.649     -681.636        2.987   180.5
1.0000         -676.480     -682.162        5.683   343.5
1.0500         -677.917     -681.769        3.852   232.8
1.1000         -683.284     -688.380        5.096   308.0
1.1500         -673.701     -679.636        5.935   358.7
1.2000         -675.726     -682.057        6.330   382.6
1.2500         -678.068     -680.758        2.689   162.5
1.3000         -682.197     -685.665        3.468   209.6
1.3500         -673.321     -679.236        5.915   357.5
1.4000         -674.231     -682.063        7.832   473.4
1.4500         -679.087     -682.447        3.359   203.0
1.5000         -677.934     -682.707        4.773   288.5
1.5500         -676.989     -681.314        4.325   261.4
1.6000         -674.958     -681.466        6.509   393.4
1.6500         -680.746     -684.475        3.729   225.4
1.7000         -673.785     -680.021        6.236   376.9
1.7500         -678.409     -682.755        4.346   262.7
1.8000         -677.929     -682.306        4.377   264.6
1.8500         -683.370     -686.663        3.293   199.0
1.9000         -670.890     -679.284        8.394   507.3
1.9500         -678.435     -684.345        5.910   357.2
2.0000         -680.609     -684.322        3.713   224.4
2.0500         -684.519     -687.286        2.766   167.2
2.1000         -671.608     -678.439        6.831   412.9
2.1500         -678.916     -684.564        5.648   341.4
2.2000         -680.805     -685.263        4.458   269.5
2.2500         -682.969     -687.230        4.261   257.6
2.3000         -673.431     -679.604        6.173   373.1
2.3500         -679.424     -683.769        4.345   262.6
2.4000         -679.701     -684.418        4.717   285.1
2.4500         -680.573     -684.640        4.067   245.8
2.5000         -672.985     -680.977        7.991   483.0
2.5500         -680.725     -684.268        3.543   214.2
2.6000         -678.845     -683.259        4.414   266.8
2.6500         -676.949     -680.945        3.996   241.5
2.7000         -672.679     -679.248        6.569   397.0
2.7500         -680.842     -684.694        3.853   232.9
2.8000         -678.481     -683.546        5.065   306.1
2.8500         -674.767     -679.686        4.918   297.3
2.9000         -673.026     -679.567        6.541   395.3
2.9500         -682.032     -684.809        2.777   167.8
3.0000         -677.804     -683.112        5.308   320.8
3.0500         -674.810     -680.570        5.760   348.1
3.1000         -676.367     -682.182        5.815   351.5
3.1500         -682.309     -685.266        2.958   178.8
3.2000         -674.511     -681.210        6.699   404.9
3.2500         -678.247     -683.229        4.983   301.2
3.3000         -679.860     -684.061        4.202   254.0
3.3500         -680.123     -685.484        5.361   324.0
3.4000         -673.382     -679.963        6.581   397.7
3.4500         -681.471     -685.572        4.101   247.9
3.5000         -680.777     -684.056        3.278   198.1
3.5500         -679.465     -684.693        5.228   316.0
3.6000         -673.613     -680.217        6.604   399.1
3.6500         -682.811     -687.577        4.767   288.1
3.7000         -680.175     -683.719        3.544   214.2
3.7500         -678.543     -683.752        5.209   314.9
3.8000         -675.431     -680.181        4.749   287.1
3.8500         -683.585     -687.854        4.269   258.0
3.9000         -678.709     -682.961        4.251   256.9
3.9500         -677.215     -683.787        6.572   397.2
4.0000         -677.549     -681.953        4.404   266.2
4.0500         -684.168     -687.924        3.757   227.1
4.1000         -676.147     -681.214        5.066   306.2
4.1500         -676.558     -683.227        6.669   403.1
4.2000         -679.924     -684.094        4.169   252.0
4.2500         -683.674     -687.444        3.771   227.9
4.3000         -673.918     -679.858        5.941   359.1
4.3500         -677.584     -683.107        5.522   333.8
4.4000         -681.121     -684.960        3.839   232.1
4.4500         -681.890     -686.065        4.175   252.3
4.5000         -674.103     -680.178        6.074   367.1
4.5500         -678.575     -683.672        5.097   308.1
4.6000         -680.933     -685.259        4.326   261.5
4.6500         -679.731     -684.513        4.782   289.0
4.7000         -675.499     -681.141        5.642   341.0
4.7500         -679.495     -683.922        4.428   267.6
4.8000         -680.205     -685.024        4.819   291.3
4.8500         -677.944     -683.217        5.273   318.7
4.9000         -676.380     -681.906        5.527   334.0
4.9500         -679.939     -684.622        4.683   283.1
5.0000         -680.970     -684.988        4.018   242.8
