,devi_force,config_index,file_path
1,1.132978078,10.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
2,0.657244795,20.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
3,1.211220922,30.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
4,0.809567443,40.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
5,1.046986248,50.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
6,0.594766753,60.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
7,0.527826247,70.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
8,1.2760508,80.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
9,0.735400111,90.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
10,1.211558799,100.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
11,1.259709792,110.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
12,0.873086245,120.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
13,1.060093169,130.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
14,0.918425713,140.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
15,1.21734532,150.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
16,1.250533184,160.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
17,0.975186447,170.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
18,1.102038998,180.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
19,1.250249092,190.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
20,1.295991037,200.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
21,1.148322595,210.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
22,1.42982501,220.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
23,1.253969247,230.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
24,1.107698934,240.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
25,1.355197876,250.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
26,1.137040515,260.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
27,1.157173107,270.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
28,1.353378717,280.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
29,0.844214316,290.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
30,0.719792689,300.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
