,devi_force,config_index,file_path
52,0.252149624,20.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.001
54,0.462056199,40.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.001
82,0.426799352,40.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.001/md.000.sys.001.t.000
89,0.417106927,110.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.001/md.000.sys.001.t.000
