,devi_force,config_index,file_path
0,0.01018432,0.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
50,0.01018432,0.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.001
78,0.005316435,0.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.001/md.000.sys.001.t.000
80,0.042857343,20.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.001/md.000.sys.001.t.000
149,0.005316435,0.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0000/temp_run_iter_work/explore/md/md.000.sys.001/md.000.sys.001.t.001
