epoch              loss   RMSE_Etot_per_atom            RMSE_F      time
    1  5.0988608449e+02     4.4100797617e-02  2.1764627025e-01   49.9514
    2  2.0633639647e+00     2.8036183155e-03  5.3290358140e-02   47.9625
    3  2.6572242735e-01     1.0048844279e-03  3.1801356821e-02   48.0252
    4  2.0918398175e-01     8.9122207015e-04  3.1130209943e-02   47.9719
    5  1.7271091025e-01     8.0943948824e-04  3.0922222641e-02   48.0624
    6  1.4470313163e-01     7.4056603872e-04  3.0551357263e-02   47.9273
    7  1.1103653420e-01     6.4809803140e-04  3.0461655373e-02   47.8659
    8  7.0772661566e-02     5.1623145222e-04  3.0209589297e-02   48.0830
    9  5.6144502729e-02     4.5905257980e-04  3.0051434338e-02   48.0244
   10  7.2619785549e-02     5.2310531778e-04  2.9781169460e-02   47.9554
   11  4.3686266982e-02     4.0408141724e-04  2.9714053291e-02   47.7530
   12  4.5986259157e-02     4.1480386905e-04  2.9684554084e-02   47.7691
   13  3.6240674679e-02     3.6728212433e-04  2.9638758608e-02   47.8351
   14  3.0529503428e-02     3.3633501909e-04  2.9587966488e-02   47.9626
   15  2.4009531986e-02     2.9710618084e-04  2.9487881240e-02   47.9468
   16  2.3293976618e-02     2.9251758320e-04  2.9380648014e-02   48.0254
   17  1.9009981651e-02     2.6311845090e-04  2.9349730999e-02   47.8105
   18  1.7541920482e-02     2.5238483324e-04  2.9049005059e-02   48.0697
   19  1.6486083362e-02     2.4426563269e-04  2.9070230150e-02   47.8959
   20  1.4898204961e-02     2.3160871524e-04  2.8915739999e-02   48.0090
   21  1.4883292976e-02     2.3153205668e-04  2.8818659199e-02   47.8186
   22  1.3408928548e-02     2.1907144001e-04  2.8775617278e-02   47.8840
   23  1.2957214081e-02     2.1510131836e-04  2.8778189469e-02   47.9932
   24  1.2664846725e-02     2.1254712596e-04  2.8673259037e-02   47.9313
   25  1.2459803560e-02     2.1072209516e-04  2.8628891842e-02   48.1341
   26  1.1589205446e-02     2.0270147250e-04  2.8605286372e-02   47.8942
   27  1.0849804228e-02     1.9564904654e-04  2.8553671748e-02   47.8908
   28  9.7701550482e-03     1.8484400711e-04  2.8520177617e-02   47.9733
   29  8.6043523133e-03     1.7241635385e-04  2.8486716374e-02   48.1038
   30  7.7990221347e-03     1.6324177245e-04  2.8520891586e-02   48.1724
