Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -590.897     -595.263        4.366   263.9
0.1000         -592.832     -606.506       13.674   826.5
0.1500         -618.223     -620.856        2.632   159.1
0.2000         -627.882     -631.467        3.585   216.7
0.2500         -625.911     -629.664        3.753   226.9
0.3000         -631.684     -635.992        4.308   260.4
0.3500         -635.314     -644.916        9.602   580.3
0.4000         -660.906     -662.707        1.801   108.9
0.4500         -652.855     -660.176        7.321   442.5
0.5000         -659.780     -661.780        1.999   120.8
0.5500         -646.556     -658.242       11.686   706.3
0.6000         -681.734     -682.745        1.011    61.1
0.6500         -663.991     -670.148        6.156   372.1
0.7000         -673.588     -675.284        1.696   102.5
0.7500         -669.706     -674.540        4.834   292.2
0.8000         -685.398     -687.008        1.609    97.3
0.8500         -672.158     -677.502        5.343   323.0
0.9000         -668.121     -673.314        5.193   313.8
0.9500         -678.310     -681.021        2.711   163.8
1.0000         -683.417     -685.894        2.478   149.8
1.0500         -675.048     -680.437        5.389   325.7
1.1000         -667.935     -673.781        5.845   353.3
1.1500         -674.093     -678.866        4.773   288.5
1.2000         -677.929     -681.658        3.729   225.4
1.2500         -674.342     -679.063        4.721   285.4
1.3000         -667.242     -676.643        9.400   568.2
1.3500         -673.777     -676.425        2.648   160.1
1.4000         -673.375     -678.668        5.292   319.9
1.4500         -670.220     -677.248        7.028   424.8
1.5000         -674.348     -680.179        5.831   352.4
1.5500         -676.107     -678.874        2.767   167.2
1.6000         -675.530     -681.056        5.526   334.0
1.6500         -671.835     -677.721        5.886   355.8
1.7000         -678.385     -684.386        6.001   362.7
1.7500         -679.537     -682.091        2.554   154.4
1.8000         -679.920     -684.482        4.562   275.8
1.8500         -669.798     -675.888        6.090   368.1
1.9000         -676.183     -683.713        7.530   455.1
1.9500         -676.444     -680.181        3.737   225.9
2.0000         -683.429     -686.569        3.140   189.8
2.0500         -665.597     -671.970        6.373   385.2
2.1000         -675.894     -681.538        5.645   341.2
2.1500         -674.302     -678.205        3.903   235.9
2.2000         -680.498     -685.189        4.691   283.5
2.2500         -666.943     -672.379        5.436   328.5
2.3000         -677.812     -682.433        4.621   279.3
2.3500         -676.058     -679.538        3.480   210.3
2.4000         -680.144     -684.830        4.685   283.2
2.4500         -668.413     -676.222        7.810   472.0
2.5000         -681.987     -686.002        4.015   242.6
2.5500         -680.473     -683.702        3.229   195.2
2.6000         -678.660     -683.652        4.993   301.8
2.6500         -674.106     -678.710        4.604   278.3
2.7000         -679.173     -685.036        5.863   354.3
2.7500         -681.670     -685.573        3.904   235.9
2.8000         -676.130     -681.179        5.049   305.2
2.8500         -671.477     -676.064        4.587   277.2
2.9000         -674.029     -678.661        4.632   279.9
2.9500         -678.678     -683.006        4.327   261.6
3.0000         -676.311     -680.843        4.532   273.9
3.0500         -669.717     -675.343        5.626   340.0
3.1000         -673.541     -679.664        6.122   370.0
3.1500         -680.844     -683.407        2.564   154.9
3.2000         -677.491     -684.583        7.092   428.7
3.2500         -671.919     -677.114        5.195   314.0
3.3000         -679.465     -684.425        4.960   299.8
3.3500         -679.309     -681.685        2.375   143.6
3.4000         -677.477     -683.444        5.967   360.7
3.4500         -672.023     -678.500        6.477   391.5
3.5000         -683.555     -687.310        3.755   227.0
3.5500         -675.224     -679.072        3.849   232.6
3.6000         -675.125     -680.856        5.731   346.4
3.6500         -675.084     -679.549        4.465   269.9
3.7000         -684.486     -688.576        4.090   247.2
3.7500         -672.086     -678.055        5.969   360.8
3.8000         -675.230     -681.145        5.915   357.5
3.8500         -677.478     -680.890        3.412   206.2
3.9000         -684.884     -688.506        3.622   218.9
3.9500         -673.921     -680.141        6.221   376.0
4.0000         -675.753     -682.519        6.766   408.9
4.0500         -679.611     -682.906        3.296   199.2
4.1000         -682.055     -685.291        3.236   195.6
4.1500         -673.596     -679.709        6.112   369.4
4.2000         -676.280     -682.813        6.532   394.8
4.2500         -678.815     -682.569        3.754   226.9
4.3000         -676.298     -681.440        5.142   310.8
4.3500         -673.527     -678.516        4.989   301.5
4.4000         -677.225     -682.760        5.535   334.5
4.4500         -679.053     -682.455        3.402   205.6
4.5000         -673.530     -679.733        6.203   374.9
4.5500         -674.206     -679.468        5.262   318.0
4.6000         -679.928     -684.991        5.063   306.0
4.6500         -681.089     -684.679        3.591   217.0
4.7000         -675.734     -682.224        6.490   392.3
4.7500         -674.961     -680.131        5.170   312.5
4.8000         -682.362     -686.783        4.421   267.2
4.8500         -680.608     -684.019        3.410   206.1
4.9000         -677.278     -683.553        6.275   379.2
4.9500         -676.702     -681.305        4.603   278.2
5.0000         -680.972     -685.399        4.426   267.5
