epoch              loss   RMSE_Etot_per_atom            RMSE_F      time
    1  2.3275395516e+01     9.4133007957e-03  2.1622879750e-01   49.7922
    2  6.1721319250e+00     4.8503925183e-03  6.9653070876e-02   47.6247
    3  1.9288120618e-01     8.5577787855e-04  2.9975544482e-02   47.4291
    4  2.0819794987e-01     8.8934951152e-04  2.9276357101e-02   47.5143
    5  1.3723549288e-01     7.2132237365e-04  2.8989748790e-02   47.4790
    6  1.0787865533e-01     6.3903200380e-04  2.8792931778e-02   47.6008
    7  6.6896425860e-02     5.0205134037e-04  2.8663150354e-02   47.5381
    8  4.5457072434e-02     4.1266437859e-04  2.8567033290e-02   47.5057
    9  3.2152913251e-02     3.4575978836e-04  2.8524415651e-02   47.5299
   10  2.4531055710e-02     3.0080770437e-04  2.8476021123e-02   47.6467
   11  1.9817452996e-02     2.6927300335e-04  2.8459249196e-02   47.4558
   12  1.7975827673e-02     2.5589874670e-04  2.8452518170e-02   47.5717
   13  1.5636716536e-02     2.3783865681e-04  2.8424592630e-02   47.6269
   14  1.4772175601e-02     2.3080672432e-04  2.8413157945e-02   47.7854
   15  1.3825694522e-02     2.2285590728e-04  2.8396775858e-02   47.6824
   16  1.3053461799e-02     2.1615568418e-04  2.8376651289e-02   47.5782
   17  1.2260732315e-02     2.0905077828e-04  2.8362924469e-02   47.6891
   18  1.1501613960e-02     2.0202130654e-04  2.8334317892e-02   47.6300
   19  1.1041378885e-02     1.9763076416e-04  2.8329839070e-02   47.7932
   20  1.0874808509e-02     1.9602265065e-04  2.8318843185e-02   47.5948
   21  1.0642941532e-02     1.9376786062e-04  2.8292881656e-02   47.5991
   22  1.0088269412e-02     1.8823867978e-04  2.8275629020e-02   47.6160
   23  9.7250336948e-03     1.8453913709e-04  2.8245357528e-02   47.6398
   24  9.4974604805e-03     1.8219060714e-04  2.8213565665e-02   47.2951
   25  9.0905683112e-03     1.7789156195e-04  2.8194228592e-02   47.4392
   26  8.4760135480e-03     1.7119782387e-04  2.8158747003e-02   47.4380
   27  8.1798642661e-03     1.6787274170e-04  2.8148121155e-02   47.3907
   28  7.7898278343e-03     1.6339974734e-04  2.8119744354e-02   47.4401
   29  7.6145914370e-03     1.6134034727e-04  2.8121123898e-02   47.3139
   30  7.4287360321e-03     1.5914700245e-04  2.8092944224e-02   47.5778
