Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -661.257     -666.246        4.988   301.5
0.1000         -652.950     -662.528        9.578   578.9
0.1500         -668.284     -671.253        2.969   179.4
0.2000         -672.091     -674.874        2.783   168.2
0.2500         -665.142     -671.836        6.694   404.6
0.3000         -667.505     -671.780        4.275   258.4
0.3500         -671.995     -678.575        6.580   397.7
0.4000         -678.638     -682.125        3.487   210.8
0.4500         -669.834     -676.745        6.910   417.7
0.5000         -674.439     -678.871        4.432   267.9
0.5500         -677.415     -680.270        2.856   172.6
0.6000         -679.339     -685.269        5.929   358.4
0.6500         -673.660     -679.764        6.104   368.9
0.7000         -679.472     -685.121        5.649   341.4
0.7500         -679.298     -681.908        2.610   157.8
0.8000         -681.094     -685.813        4.719   285.2
0.8500         -673.767     -681.198        7.431   449.1
0.9000         -681.737     -687.457        5.720   345.7
0.9500         -679.674     -681.855        2.181   131.8
1.0000         -679.965     -684.208        4.243   256.4
1.0500         -673.678     -679.803        6.124   370.1
1.1000         -681.821     -688.228        6.407   387.2
1.1500         -677.487     -681.070        3.584   216.6
1.2000         -677.830     -682.462        4.632   280.0
1.2500         -674.325     -678.451        4.127   249.4
1.3000         -681.237     -686.208        4.971   300.4
1.3500         -675.704     -681.025        5.321   321.6
1.4000         -675.405     -681.874        6.469   391.0
1.4500         -677.303     -679.992        2.689   162.5
1.5000         -678.396     -682.660        4.264   257.7
1.5500         -676.804     -682.034        5.230   316.1
1.6000         -673.916     -681.333        7.416   448.3
1.6500         -679.297     -682.868        3.570   215.8
1.7000         -676.467     -680.694        4.227   255.5
1.7500         -677.979     -682.441        4.462   269.7
1.8000         -674.646     -681.186        6.540   395.3
1.8500         -681.522     -686.017        4.495   271.7
1.9000         -676.547     -681.846        5.299   320.3
1.9500         -678.074     -682.712        4.639   280.4
2.0000         -678.372     -682.223        3.851   232.8
2.0500         -683.299     -687.585        4.286   259.1
2.1000         -676.522     -683.141        6.619   400.1
2.1500         -679.001     -684.518        5.517   333.4
2.2000         -679.673     -684.454        4.781   288.9
2.2500         -683.902     -686.946        3.044   184.0
2.3000         -675.620     -682.902        7.283   440.2
2.3500         -681.073     -685.146        4.073   246.2
2.4000         -679.736     -684.863        5.128   309.9
2.4500         -681.387     -685.554        4.167   251.9
2.5000         -675.397     -682.075        6.678   403.6
2.5500         -680.753     -684.628        3.875   234.2
2.6000         -678.023     -682.993        4.970   300.4
2.6500         -678.648     -682.779        4.131   249.7
2.7000         -672.535     -680.116        7.581   458.2
2.7500         -679.445     -683.345        3.900   235.7
2.8000         -677.114     -682.425        5.311   321.0
2.8500         -676.179     -680.521        4.342   262.5
2.9000         -672.395     -679.766        7.371   445.5
2.9500         -679.163     -682.317        3.154   190.6
3.0000         -675.549     -681.252        5.703   344.7
3.0500         -674.915     -679.156        4.242   256.4
3.1000         -673.416     -680.002        6.586   398.0
3.1500         -678.595     -682.666        4.071   246.0
3.2000         -674.195     -680.179        5.984   361.7
3.2500         -675.446     -679.836        4.390   265.3
3.3000         -675.420     -680.664        5.244   316.9
3.3500         -679.256     -683.835        4.578   276.7
3.4000         -674.262     -680.643        6.380   385.6
3.4500         -676.512     -681.366        4.853   293.3
3.5000         -676.779     -680.972        4.194   253.5
3.5500         -680.821     -684.746        3.925   237.2
3.6000         -673.828     -680.270        6.443   389.4
3.6500         -678.226     -684.654        6.428   388.5
3.7000         -677.412     -681.593        4.182   252.7
3.7500         -680.691     -685.364        4.673   282.5
3.8000         -674.230     -678.459        4.228   255.6
3.8500         -680.059     -686.474        6.415   387.7
3.9000         -677.995     -681.847        3.852   232.8
3.9500         -679.523     -686.110        6.587   398.1
4.0000         -673.528     -678.071        4.543   274.6
4.0500         -681.978     -687.013        5.034   304.3
4.1000         -676.676     -680.890        4.214   254.7
4.1500         -678.637     -685.089        6.452   389.9
4.2000         -674.306     -678.786        4.480   270.8
4.2500         -681.344     -685.756        4.411   266.6
4.3000         -677.768     -681.472        3.704   223.9
4.3500         -676.406     -683.603        7.197   435.0
4.4000         -675.386     -680.808        5.422   327.7
4.4500         -680.920     -684.895        3.975   240.3
4.5000         -677.317     -681.133        3.817   230.7
4.5500         -673.960     -680.053        6.093   368.2
4.6000         -677.178     -682.325        5.147   311.1
4.6500         -679.504     -683.795        4.292   259.4
4.7000         -676.479     -681.480        5.001   302.3
4.7500         -673.321     -678.873        5.553   335.6
4.8000         -678.768     -683.563        4.795   289.8
4.8500         -679.248     -683.319        4.070   246.0
4.9000         -675.190     -681.826        6.636   401.1
4.9500         -675.046     -680.041        4.995   301.9
5.0000         -680.394     -684.347        3.953   238.9
