Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -661.077     -666.439        5.362   324.1
0.1000         -655.498     -663.934        8.436   509.9
0.1500         -668.986     -671.698        2.712   163.9
0.2000         -670.765     -674.193        3.428   207.2
0.2500         -663.691     -670.734        7.043   425.7
0.3000         -671.043     -674.977        3.934   237.8
0.3500         -673.939     -678.803        4.864   294.0
0.4000         -673.343     -679.716        6.373   385.2
0.4500         -669.898     -674.873        4.975   300.7
0.5000         -678.667     -680.886        2.219   134.1
0.5500         -676.482     -680.599        4.117   248.8
0.6000         -673.124     -683.644       10.520   635.8
0.6500         -675.325     -679.790        4.465   269.9
0.7000         -682.785     -685.062        2.276   137.6
0.7500         -676.164     -680.832        4.668   282.2
0.8000         -676.800     -684.692        7.892   477.0
0.8500         -678.123     -682.861        4.738   286.3
0.9000         -683.333     -686.896        3.562   215.3
0.9500         -673.826     -677.658        3.831   231.6
1.0000         -678.819     -684.755        5.935   358.7
1.0500         -678.458     -682.415        3.957   239.2
1.1000         -681.500     -687.673        6.173   373.1
1.1500         -671.616     -675.567        3.951   238.8
1.2000         -680.368     -684.549        4.181   252.7
1.2500         -676.969     -680.374        3.405   205.8
1.3000         -677.975     -684.593        6.618   400.0
1.3500         -673.062     -678.393        5.331   322.2
1.4000         -680.361     -684.189        3.828   231.4
1.4500         -675.815     -679.671        3.856   233.0
1.5000         -672.679     -679.455        6.776   409.6
1.5500         -678.477     -683.221        4.744   286.7
1.6000         -679.403     -683.466        4.062   245.5
1.6500         -675.951     -680.065        4.115   248.7
1.7000         -669.831     -675.837        6.005   363.0
1.7500         -681.704     -685.397        3.694   223.2
1.8000         -679.105     -683.134        4.029   243.5
1.8500         -677.889     -684.246        6.356   384.2
1.9000         -674.534     -679.829        5.295   320.0
1.9500         -682.541     -686.812        4.271   258.2
2.0000         -678.504     -682.532        4.027   243.4
2.0500         -679.367     -684.970        5.603   338.6
2.1000         -677.326     -682.134        4.808   290.6
2.1500         -683.226     -687.206        3.980   240.5
2.2000         -675.363     -681.270        5.907   357.0
2.2500         -677.883     -683.311        5.429   328.1
2.3000         -678.397     -683.260        4.863   293.9
2.3500         -682.557     -685.858        3.301   199.5
2.4000         -673.092     -680.100        7.008   423.6
2.4500         -677.302     -680.987        3.686   222.8
2.5000         -677.361     -682.776        5.415   327.3
2.5500         -680.702     -683.601        2.899   175.2
2.6000         -671.622     -680.558        8.936   540.1
2.6500         -677.847     -681.364        3.517   212.6
2.7000         -677.253     -681.866        4.613   278.8
2.7500         -676.549     -680.193        3.644   220.2
2.8000         -672.457     -679.874        7.417   448.3
2.8500         -678.936     -683.043        4.106   248.2
2.9000         -675.956     -681.881        5.926   358.2
2.9500         -675.363     -679.043        3.680   222.4
3.0000         -674.369     -680.323        5.954   359.9
3.0500         -680.281     -683.638        3.357   202.9
3.1000         -676.100     -682.721        6.620   400.1
3.1500         -675.810     -680.809        4.999   302.1
3.2000         -676.408     -681.548        5.140   310.7
3.2500         -681.557     -684.093        2.536   153.3
3.3000         -675.282     -681.970        6.688   404.2
3.3500         -677.601     -682.895        5.294   320.0
3.4000         -678.492     -683.601        5.110   308.8
3.4500         -682.110     -685.275        3.165   191.3
3.5000         -674.454     -680.371        5.916   357.6
3.5500         -679.545     -684.422        4.878   294.8
3.6000         -680.138     -684.662        4.524   273.5
3.6500         -681.430     -686.624        5.194   313.9
3.7000         -673.448     -679.108        5.660   342.1
3.7500         -681.039     -685.749        4.709   284.6
3.8000         -679.564     -682.906        3.341   201.9
3.8500         -680.528     -686.601        6.073   367.1
3.9000         -674.355     -679.285        4.930   298.0
3.9500         -681.188     -686.420        5.233   316.3
4.0000         -677.148     -680.965        3.817   230.7
4.0500         -679.769     -685.502        5.733   346.5
4.1000         -674.955     -679.382        4.427   267.6
4.1500         -680.060     -684.992        4.931   298.0
4.2000         -676.473     -680.742        4.270   258.1
4.2500         -677.911     -683.499        5.588   337.7
4.3000         -675.470     -680.466        4.996   302.0
4.3500         -679.189     -684.000        4.811   290.8
4.4000         -677.536     -682.142        4.606   278.4
4.4500         -674.555     -680.073        5.518   333.5
4.5000         -677.627     -682.205        4.577   276.6
4.5500         -678.003     -681.838        3.835   231.8
4.6000         -677.680     -683.909        6.228   376.5
4.6500         -675.568     -680.888        5.320   321.5
4.7000         -679.241     -684.130        4.889   295.5
4.7500         -676.493     -681.243        4.750   287.1
4.8000         -678.404     -683.397        4.993   301.8
4.8500         -677.939     -682.787        4.848   293.0
4.9000         -681.035     -685.228        4.193   253.4
4.9500         -675.922     -682.611        6.690   404.3
5.0000         -679.364     -684.511        5.148   311.1
