Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -661.424     -666.651        5.227   315.9
0.1000         -653.350     -663.239        9.889   597.7
0.1500         -668.530     -670.965        2.435   147.2
0.2000         -670.700     -674.945        4.244   256.5
0.2500         -666.977     -671.922        4.945   298.9
0.3000         -669.382     -674.242        4.860   293.8
0.3500         -672.639     -678.021        5.382   325.3
0.4000         -675.151     -681.079        5.927   358.3
0.4500         -671.898     -677.832        5.933   358.6
0.5000         -678.453     -681.141        2.688   162.5
0.5500         -677.906     -682.148        4.241   256.3
0.6000         -677.788     -685.011        7.223   436.6
0.6500         -674.131     -680.443        6.312   381.5
0.7000         -681.475     -685.311        3.836   231.8
0.7500         -681.169     -683.547        2.378   143.7
0.8000         -678.963     -685.341        6.378   385.5
0.8500         -675.135     -682.250        7.115   430.0
0.9000         -683.941     -688.251        4.310   260.5
0.9500         -679.769     -682.479        2.710   163.8
1.0000         -677.036     -682.435        5.399   326.3
1.0500         -677.695     -682.235        4.541   274.4
1.1000         -682.921     -688.136        5.215   315.2
1.1500         -674.333     -679.587        5.254   317.6
1.2000         -675.092     -681.452        6.360   384.4
1.2500         -677.180     -679.939        2.759   166.8
1.3000         -680.008     -684.622        4.614   278.9
1.3500         -673.989     -679.248        5.258   317.8
1.4000         -673.649     -680.785        7.136   431.3
1.4500         -676.480     -680.508        4.028   243.5
1.5000         -675.805     -680.423        4.617   279.1
1.5500         -677.930     -682.713        4.783   289.1
1.6000         -673.772     -679.771        5.999   362.6
1.6500         -680.925     -684.652        3.727   225.2
1.7000         -670.963     -677.028        6.065   366.6
1.7500         -678.487     -682.989        4.502   272.1
1.8000         -677.128     -681.392        4.264   257.7
1.8500         -684.555     -687.737        3.183   192.4
1.9000         -668.796     -676.685        7.889   476.8
1.9500         -675.080     -681.098        6.017   363.7
2.0000         -678.599     -682.178        3.579   216.3
2.0500         -683.502     -686.639        3.137   189.6
2.1000         -669.627     -676.277        6.650   401.9
2.1500         -675.099     -680.276        5.178   312.9
2.2000         -676.798     -681.105        4.306   260.3
2.2500         -677.734     -682.183        4.449   268.9
2.3000         -671.609     -678.625        7.016   424.0
2.3500         -677.659     -681.588        3.928   237.4
2.4000         -676.325     -681.836        5.512   333.1
2.4500         -675.017     -678.932        3.915   236.6
2.5000         -671.679     -678.544        6.865   414.9
2.5500         -680.112     -682.903        2.792   168.7
2.6000         -677.818     -683.455        5.636   340.7
2.6500         -674.528     -680.056        5.528   334.1
2.7000         -673.277     -680.196        6.919   418.2
2.7500         -682.181     -684.959        2.778   167.9
2.8000         -679.886     -683.980        4.094   247.4
2.8500         -676.199     -681.657        5.458   329.9
2.9000         -676.871     -683.770        6.899   417.0
2.9500         -683.734     -687.310        3.576   216.1
3.0000         -678.347     -684.015        5.668   342.6
3.0500         -680.439     -683.979        3.540   214.0
3.1000         -681.415     -686.078        4.664   281.9
3.1500         -682.506     -686.671        4.165   251.7
3.2000         -674.154     -683.391        9.237   558.3
3.2500         -682.702     -686.218        3.516   212.5
3.3000         -681.977     -685.141        3.163   191.2
3.3500         -680.414     -684.645        4.231   255.7
3.4000         -675.171     -682.251        7.080   427.9
3.4500         -681.887     -687.149        5.263   318.1
3.5000         -679.874     -683.771        3.897   235.6
3.5500         -678.552     -683.477        4.925   297.7
3.6000         -676.465     -681.229        4.764   287.9
3.6500         -682.652     -686.596        3.943   238.3
3.7000         -676.759     -682.763        6.004   362.9
3.7500         -675.916     -683.003        7.087   428.3
3.8000         -678.404     -682.699        4.295   259.6
3.8500         -683.119     -686.009        2.890   174.7
3.9000         -675.755     -680.583        4.828   291.8
3.9500         -673.878     -680.379        6.501   392.9
4.0000         -679.977     -685.050        5.072   306.6
4.0500         -682.835     -686.064        3.230   195.2
4.1000         -675.661     -682.050        6.389   386.2
4.1500         -674.369     -679.936        5.568   336.5
4.2000         -681.343     -685.606        4.263   257.7
4.2500         -679.987     -684.103        4.116   248.8
4.3000         -677.461     -682.918        5.458   329.9
4.3500         -676.993     -681.950        4.956   299.6
4.4000         -682.670     -686.304        3.634   219.6
4.4500         -675.281     -681.897        6.616   399.9
4.5000         -678.578     -684.376        5.798   350.4
4.5500         -680.282     -684.135        3.854   232.9
4.6000         -682.064     -686.138        4.074   246.2
4.6500         -673.819     -680.001        6.182   373.6
4.7000         -679.096     -684.999        5.903   356.8
4.7500         -681.153     -685.033        3.880   234.5
4.8000         -682.090     -686.344        4.254   257.1
4.8500         -674.897     -680.815        5.919   357.7
4.9000         -681.391     -686.151        4.760   287.7
4.9500         -681.594     -685.346        3.752   226.8
5.0000         -679.031     -685.219        6.188   374.0
