Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -681.437     -687.770        6.333   382.8
0.1000         -674.015     -679.976        5.962   360.3
0.1500         -684.526     -687.099        2.573   155.5
0.2000         -685.536     -688.038        2.502   151.2
0.2500         -676.777     -685.442        8.665   523.7
0.3000         -681.459     -686.726        5.267   318.4
0.3500         -684.294     -688.353        4.058   245.3
0.4000         -678.632     -684.806        6.174   373.2
0.4500         -681.467     -685.448        3.981   240.6
0.5000         -684.904     -687.966        3.062   185.1
0.5500         -680.542     -685.949        5.407   326.8
0.6000         -677.104     -684.380        7.276   439.8
0.6500         -681.381     -686.844        5.463   330.2
0.7000         -685.212     -688.981        3.769   227.8
0.7500         -681.054     -685.292        4.238   256.2
0.8000         -675.950     -682.101        6.151   371.8
0.8500         -681.849     -686.578        4.729   285.8
0.9000         -685.629     -689.199        3.570   215.8
0.9500         -679.363     -685.093        5.731   346.4
1.0000         -678.324     -684.279        5.955   359.9
1.0500         -684.069     -687.125        3.055   184.7
1.1000         -682.164     -686.476        4.311   260.6
1.1500         -679.303     -685.980        6.677   403.6
1.2000         -684.591     -688.663        4.072   246.1
1.2500         -681.788     -685.885        4.096   247.6
1.3000         -675.619     -681.879        6.260   378.4
1.3500         -683.068     -687.074        4.007   242.2
1.4000         -685.627     -688.833        3.206   193.8
1.4500         -679.020     -685.457        6.437   389.1
1.5000         -676.738     -682.599        5.861   354.2
1.5500         -683.585     -687.519        3.934   237.8
1.6000         -683.955     -688.045        4.090   247.2
1.6500         -680.548     -685.548        5.000   302.2
1.7000         -679.185     -684.766        5.581   337.3
1.7500         -682.518     -686.951        4.433   267.9
1.8000         -682.159     -686.630        4.471   270.2
1.8500         -679.238     -685.894        6.656   402.3
1.9000         -683.212     -687.090        3.877   234.4
1.9500         -683.634     -687.392        3.759   227.2
2.0000         -677.129     -683.172        6.043   365.3
2.0500         -679.918     -685.586        5.667   342.5
2.1000         -685.714     -688.797        3.084   186.4
2.1500         -682.464     -686.321        3.856   233.1
2.2000         -674.722     -681.952        7.230   437.0
2.2500         -682.397     -686.688        4.290   259.3
2.3000         -684.918     -688.545        3.627   219.2
2.3500         -679.086     -685.414        6.329   382.5
2.4000         -680.444     -685.181        4.737   286.3
2.4500         -682.727     -686.560        3.832   231.6
2.5000         -681.594     -686.714        5.121   309.5
2.5500         -679.404     -685.853        6.449   389.8
2.6000         -682.636     -687.398        4.762   287.8
2.6500         -683.360     -687.436        4.076   246.3
2.7000         -679.966     -684.235        4.269   258.0
2.7500         -677.846     -683.676        5.830   352.4
2.8000         -684.291     -688.676        4.385   265.0
2.8500         -684.288     -688.210        3.922   237.0
2.9000         -676.309     -683.559        7.250   438.2
2.9500         -679.071     -684.528        5.457   329.8
3.0000         -685.085     -688.396        3.311   200.1
3.0500         -682.820     -687.166        4.346   262.7
3.1000         -677.768     -684.490        6.722   406.3
3.1500         -682.807     -686.905        4.099   247.7
3.2000         -682.115     -686.379        4.263   257.7
3.2500         -679.562     -685.475        5.913   357.4
3.3000         -682.183     -686.512        4.328   261.6
3.3500         -683.872     -687.457        3.584   216.6
3.4000         -679.034     -685.082        6.048   365.5
3.4500         -678.266     -684.665        6.400   386.8
3.5000         -683.702     -687.626        3.925   237.2
3.5500         -684.296     -688.476        4.181   252.7
3.6000         -679.365     -684.197        4.832   292.0
3.6500         -676.696     -683.169        6.473   391.2
3.7000         -684.036     -688.186        4.150   250.9
3.7500         -684.651     -688.450        3.799   229.6
3.8000         -677.376     -683.891        6.515   393.8
3.8500         -681.085     -685.543        4.458   269.4
3.9000         -684.200     -687.450        3.251   196.5
3.9500         -679.682     -685.229        5.547   335.2
4.0000         -680.712     -686.653        5.941   359.1
4.0500         -684.377     -687.975        3.597   217.4
4.1000         -680.696     -685.778        5.081   307.1
4.1500         -676.741     -682.700        5.959   360.2
4.2000         -683.534     -687.481        3.947   238.6
4.2500         -684.349     -687.903        3.554   214.8
4.3000         -679.749     -685.034        5.284   319.4
4.3500         -677.082     -683.783        6.701   405.0
4.4000         -683.128     -687.371        4.243   256.4
4.4500         -684.013     -688.092        4.079   246.5
4.5000         -679.828     -684.963        5.135   310.4
4.5500         -680.111     -684.845        4.734   286.1
4.6000         -683.780     -687.867        4.087   247.0
4.6500         -681.205     -686.067        4.862   293.8
4.7000         -679.341     -685.426        6.085   367.8
4.7500         -684.517     -688.141        3.624   219.0
4.8000         -682.512     -686.397        3.886   234.9
4.8500         -676.272     -682.927        6.654   402.2
4.9000         -681.348     -686.472        5.124   309.7
4.9500         -686.285     -689.035        2.750   166.2
5.0000         -679.642     -685.507        5.865   354.5
