Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -681.798     -687.804        6.006   363.0
0.1000         -671.963     -679.233        7.270   439.4
0.1500         -684.293     -686.719        2.425   146.6
0.2000         -685.797     -688.091        2.295   138.7
0.2500         -677.767     -685.393        7.626   460.9
0.3000         -681.423     -686.305        4.882   295.1
0.3500         -683.688     -687.747        4.059   245.3
0.4000         -678.321     -684.767        6.447   389.6
0.4500         -680.897     -685.295        4.398   265.8
0.5000         -684.981     -688.159        3.177   192.0
0.5500         -681.820     -686.171        4.351   263.0
0.6000         -675.519     -683.026        7.508   453.8
0.6500         -680.480     -686.028        5.548   335.3
0.7000         -685.715     -689.043        3.328   201.1
0.7500         -681.504     -686.600        5.096   308.0
0.8000         -677.118     -681.904        4.786   289.3
0.8500         -678.336     -683.621        5.285   319.4
0.9000         -685.153     -688.937        3.784   228.7
0.9500         -683.269     -687.232        3.964   239.6
1.0000         -675.362     -684.062        8.701   525.9
1.0500         -682.619     -685.982        3.364   203.3
1.1000         -683.658     -686.606        2.948   178.2
1.1500         -677.477     -685.093        7.616   460.3
1.2000         -683.477     -687.832        4.355   263.2
1.2500         -684.415     -687.719        3.304   199.7
1.3000         -675.343     -682.958        7.615   460.2
1.3500         -678.772     -683.305        4.533   274.0
1.4000         -685.263     -688.720        3.457   208.9
1.4500         -684.720     -688.328        3.608   218.1
1.5000         -674.173     -682.078        7.905   477.8
1.5500         -679.778     -685.688        5.910   357.2
1.6000         -685.168     -688.184        3.017   182.3
1.6500         -682.052     -687.396        5.345   323.0
1.7000         -679.198     -684.396        5.198   314.2
1.7500         -680.711     -686.274        5.563   336.2
1.8000         -682.307     -686.908        4.601   278.1
1.8500         -680.931     -685.848        4.917   297.2
1.9000         -680.505     -686.070        5.565   336.4
1.9500         -683.770     -687.649        3.879   234.4
2.0000         -682.121     -685.863        3.742   226.1
2.0500         -674.440     -682.107        7.667   463.4
2.1000         -682.279     -687.019        4.740   286.5
2.1500         -686.127     -688.856        2.730   165.0
2.2000         -679.275     -685.996        6.721   406.2
2.2500         -676.525     -681.446        4.920   297.4
2.3000         -683.465     -687.706        4.242   256.4
2.3500         -683.978     -687.794        3.816   230.6
2.4000         -679.228     -685.181        5.953   359.8
2.4500         -680.490     -685.930        5.440   328.8
2.5000         -683.045     -687.004        3.959   239.3
2.5500         -679.810     -685.007        5.197   314.1
2.6000         -679.926     -685.912        5.986   361.8
2.6500         -684.248     -687.811        3.563   215.4
2.7000         -682.307     -686.828        4.521   273.3
2.7500         -678.128     -683.786        5.658   342.0
2.8000         -678.696     -684.223        5.527   334.0
2.8500         -684.309     -688.353        4.043   244.4
2.9000         -684.401     -687.627        3.226   195.0
2.9500         -676.510     -683.037        6.527   394.5
3.0000         -679.298     -684.461        5.164   312.1
3.0500         -685.068     -687.981        2.913   176.1
3.1000         -680.699     -686.563        5.864   354.4
3.1500         -681.114     -685.949        4.835   292.2
3.2000         -683.350     -687.421        4.072   246.1
3.2500         -679.720     -685.860        6.140   371.1
3.3000         -678.555     -684.262        5.707   345.0
3.3500         -684.127     -688.158        4.031   243.6
3.4000         -684.035     -687.758        3.723   225.0
3.4500         -678.335     -683.702        5.367   324.4
3.5000         -678.055     -684.694        6.639   401.3
3.5500         -683.501     -687.970        4.469   270.1
3.6000         -683.966     -688.078        4.112   248.5
3.6500         -679.439     -685.209        5.770   348.7
3.7000         -679.322     -684.467        5.145   311.0
3.7500         -682.953     -687.248        4.295   259.6
3.8000         -682.288     -687.182        4.894   295.8
3.8500         -679.119     -686.100        6.982   422.0
3.9000         -684.163     -688.073        3.910   236.3
3.9500         -682.287     -686.159        3.872   234.0
4.0000         -675.863     -682.242        6.380   385.6
4.0500         -681.748     -686.876        5.128   310.0
4.1000         -686.127     -689.249        3.122   188.7
4.1500         -679.370     -685.986        6.616   399.9
4.2000         -676.726     -682.185        5.458   329.9
4.2500         -683.647     -687.156        3.509   212.1
4.3000         -683.882     -688.138        4.256   257.3
4.3500         -679.979     -685.175        5.196   314.0
4.4000         -680.485     -686.263        5.778   349.2
4.4500         -682.782     -687.088        4.306   260.2
4.5000         -680.666     -685.302        4.636   280.2
4.5500         -679.999     -685.829        5.830   352.4
4.6000         -683.804     -687.884        4.079   246.6
4.6500         -683.057     -687.286        4.229   255.6
4.7000         -677.231     -684.062        6.830   412.8
4.7500         -678.955     -684.611        5.656   341.8
4.8000         -685.499     -688.724        3.226   195.0
4.8500         -683.916     -687.812        3.896   235.5
4.9000         -675.595     -681.898        6.303   380.9
4.9500         -680.337     -686.382        6.045   365.4
5.0000         -685.628     -688.550        2.922   176.6
