Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -591.433     -595.209        3.775   228.2
0.1000         -595.471     -609.551       14.080   851.0
0.1500         -619.193     -622.198        3.005   181.6
0.2000         -631.629     -634.683        3.053   184.5
0.2500         -630.342     -634.052        3.710   224.3
0.3000         -632.035     -636.930        4.895   295.9
0.3500         -632.549     -643.665       11.116   671.9
0.4000         -666.207     -667.863        1.656   100.1
0.4500         -659.365     -663.178        3.813   230.5
0.5000         -662.879     -666.871        3.993   241.3
0.5500         -649.362     -660.610       11.248   679.8
0.6000         -680.912     -682.427        1.516    91.6
0.6500         -669.771     -675.039        5.269   318.4
0.7000         -679.295     -681.532        2.237   135.2
0.7500         -669.614     -675.811        6.197   374.6
0.8000         -677.192     -680.786        3.594   217.2
0.8500         -677.242     -679.899        2.658   160.6
0.9000         -674.346     -681.231        6.885   416.1
0.9500         -676.640     -680.631        3.992   241.2
1.0000         -671.742     -676.401        4.659   281.6
1.0500         -668.609     -672.014        3.405   205.8
1.1000         -662.972     -671.181        8.209   496.1
1.1500         -670.882     -675.085        4.203   254.0
1.2000         -665.919     -670.121        4.202   254.0
1.2500         -660.568     -664.047        3.479   210.3
1.3000         -659.573     -669.512        9.938   600.7
1.3500         -672.378     -674.586        2.208   133.5
1.4000         -668.034     -675.249        7.215   436.1
1.4500         -664.961     -667.648        2.687   162.4
1.5000         -665.551     -673.555        8.004   483.7
1.5500         -679.418     -681.138        1.720   103.9
1.6000         -675.244     -680.634        5.390   325.8
1.6500         -669.956     -675.698        5.743   347.1
1.7000         -672.714     -679.274        6.560   396.5
1.7500         -684.652     -686.990        2.338   141.3
1.8000         -682.578     -687.018        4.440   268.4
1.8500         -675.336     -680.854        5.518   333.5
1.9000         -679.483     -685.294        5.811   351.2
1.9500         -680.225     -683.566        3.341   201.9
2.0000         -680.641     -684.710        4.069   245.9
2.0500         -672.871     -679.564        6.693   404.5
2.1000         -679.902     -684.866        4.964   300.0
2.1500         -674.837     -679.199        4.362   263.7
2.2000         -673.469     -677.936        4.467   270.0
2.2500         -667.817     -676.138        8.322   503.0
2.3000         -680.358     -683.884        3.526   213.1
2.3500         -676.667     -680.985        4.318   261.0
2.4000         -672.477     -677.505        5.028   303.9
2.4500         -672.978     -678.870        5.892   356.1
2.5000         -679.801     -683.652        3.851   232.8
2.5500         -679.029     -684.143        5.114   309.1
2.6000         -675.039     -679.915        4.877   294.7
2.6500         -681.374     -685.537        4.163   251.6
2.7000         -676.667     -679.986        3.320   200.6
2.7500         -673.112     -680.014        6.902   417.2
2.8000         -671.411     -677.400        5.989   362.0
2.8500         -684.818     -687.557        2.739   165.5
2.9000         -674.252     -678.958        4.706   284.4
2.9500         -673.371     -678.553        5.182   313.2
3.0000         -670.714     -677.928        7.214   436.0
3.0500         -685.251     -687.869        2.617   158.2
3.1000         -674.991     -680.753        5.762   348.3
3.1500         -676.475     -681.615        5.141   310.7
3.2000         -677.988     -681.652        3.664   221.5
3.2500         -682.793     -686.640        3.847   232.5
3.3000         -675.217     -681.445        6.228   376.4
3.3500         -678.824     -685.188        6.364   384.6
3.4000         -682.782     -685.912        3.130   189.2
3.4500         -678.830     -682.931        4.101   247.9
3.5000         -672.773     -679.130        6.357   384.2
3.5500         -676.479     -683.248        6.769   409.1
3.6000         -683.816     -686.315        2.498   151.0
3.6500         -675.364     -680.775        5.411   327.0
3.7000         -671.988     -676.682        4.693   283.7
3.7500         -675.522     -681.605        6.083   367.7
3.8000         -682.942     -685.769        2.827   170.8
3.8500         -675.535     -682.042        6.508   393.3
3.9000         -676.637     -680.651        4.014   242.6
3.9500         -680.278     -684.194        3.916   236.7
4.0000         -679.655     -684.235        4.579   276.8
4.0500         -677.021     -683.691        6.671   403.2
4.1000         -680.338     -684.627        4.289   259.2
4.1500         -683.761     -687.359        3.597   217.4
4.2000         -672.976     -679.239        6.263   378.5
4.2500         -676.764     -682.885        6.121   370.0
4.3000         -679.966     -683.710        3.745   226.3
4.3500         -683.863     -687.108        3.244   196.1
4.4000         -670.111     -677.224        7.112   429.9
4.4500         -677.129     -681.715        4.586   277.2
4.5000         -679.599     -683.053        3.454   208.8
4.5500         -680.930     -685.827        4.897   296.0
4.6000         -675.541     -681.714        6.173   373.1
4.6500         -678.850     -683.925        5.076   306.8
4.7000         -680.413     -683.995        3.582   216.5
4.7500         -675.152     -681.212        6.060   366.3
4.8000         -680.742     -686.379        5.637   340.7
4.8500         -679.638     -683.133        3.495   211.3
4.9000         -679.014     -684.485        5.471   330.7
4.9500         -670.624     -675.466        4.842   292.7
5.0000         -681.976     -686.804        4.828   291.8
