epoch              loss   RMSE_Etot_per_atom            RMSE_F      time
    1  1.4811181369e+03     7.5165365623e-02  2.2028950653e-01   49.8270
    2  2.2687755807e+00     2.9402156429e-03  5.0747380618e-02   47.6422
    3  2.4563953842e-01     9.6626723375e-04  2.9714128601e-02   47.4441
    4  2.2249109212e-01     9.1950142776e-04  2.9203238985e-02   47.5295
    5  1.3165923449e-01     7.0642653755e-04  2.8970645081e-02   47.4928
    6  7.4667547821e-02     5.3071861982e-04  2.8835361254e-02   47.6497
    7  5.1110226245e-02     4.3796117863e-04  2.8781716097e-02   47.4866
    8  4.0732188315e-02     3.9018623127e-04  2.8670501978e-02   47.5259
    9  3.1535426010e-02     3.4230065530e-04  2.8637074739e-02   47.4937
   10  2.7612642505e-02     3.1970932010e-04  2.8597950120e-02   47.6683
   11  2.1566708082e-02     2.8135286142e-04  2.8557622023e-02   47.4224
   12  1.6944245035e-02     2.4804542473e-04  2.8555798696e-02   47.5871
   13  1.4431599360e-02     2.2792038735e-04  2.8527543061e-02   47.6413
   14  1.3335277684e-02     2.1857008502e-04  2.8493916681e-02   47.7723
   15  1.2776266059e-02     2.1365274222e-04  2.8461365468e-02   47.6670
   16  1.1729976525e-02     2.0411408079e-04  2.8432146012e-02   47.5997
   17  1.0686576187e-02     1.9413229134e-04  2.8408879171e-02   47.6625
   18  1.0049724877e-02     1.8779250865e-04  2.8371599833e-02   47.6108
   19  9.3298008035e-03     1.8035487978e-04  2.8333928975e-02   47.8072
   20  8.6318854815e-03     1.7283474101e-04  2.8304767055e-02   47.6108
   21  8.2136311151e-03     1.6817723007e-04  2.8271189087e-02   47.6513
   22  7.9882187774e-03     1.6561401300e-04  2.8251244298e-02   47.5867
   23  7.7854478528e-03     1.6329121970e-04  2.8206991266e-02   47.6403
   24  7.4536262736e-03     1.5938393991e-04  2.8183669891e-02   47.3725
   25  7.5999086483e-03     1.6115365762e-04  2.8140674104e-02   47.4576
   26  7.4733653810e-03     1.5966668275e-04  2.8114240767e-02   47.5111
   27  7.3962656887e-03     1.5877055228e-04  2.8073414414e-02   47.4088
   28  7.1189230875e-03     1.5541504772e-04  2.8056008723e-02   47.4588
   29  7.1571754557e-03     1.5591565885e-04  2.8009558706e-02   47.3379
   30  6.9410057297e-03     1.5326684021e-04  2.7983089482e-02   47.5985
