epoch              loss   RMSE_Etot_per_atom            RMSE_F      time
    1  1.3305793460e+01     7.1118891943e-03  2.1638044280e-01   50.0326
    2  2.1660710215e+00     2.8725864282e-03  5.4069758108e-02   47.9826
    3  2.5928355701e-01     9.9250088157e-04  3.2504040943e-02   48.0931
    4  2.2869338018e-01     9.3195352166e-04  3.1804414256e-02   47.9221
    5  1.5435959259e-01     7.6494720624e-04  3.1105369217e-02   47.9833
    6  2.1028313470e-01     8.9359561617e-04  3.0946889872e-02   47.9870
    7  9.4918361158e-02     5.9872265485e-04  3.0788171137e-02   47.8654
    8  1.1057203131e-01     6.4670974011e-04  3.0571749132e-02   48.1172
    9  8.1752064602e-02     5.5528857917e-04  3.0350724053e-02   47.6581
   10  5.8188716513e-02     4.6747623021e-04  3.0022205971e-02   47.9040
   11  7.8903382095e-02     5.4546291392e-04  3.0128602736e-02   48.1021
   12  6.1917231745e-02     4.8244581306e-04  3.0036261239e-02   48.1770
   13  5.0023437002e-02     4.3289947091e-04  2.9952290719e-02   48.0847
   14  3.7559686254e-02     3.7399050232e-04  2.9898067269e-02   47.8710
   15  3.1961949689e-02     3.4426629867e-04  2.9880267721e-02   47.8904
   16  2.5063670265e-02     3.0367384050e-04  2.9821585046e-02   48.3598
   17  2.0333546464e-02     2.7241806514e-04  2.9655020027e-02   47.9580
   18  2.0670031881e-02     2.7477150175e-04  2.9636512765e-02   47.9035
   19  1.6606281967e-02     2.4496424248e-04  2.9591909456e-02   48.1661
   20  1.7342703385e-02     2.5062013720e-04  2.9619587264e-02   48.0516
   21  1.4546158982e-02     2.2839466530e-04  2.9523669935e-02   48.0046
   22  1.3294913444e-02     2.1777336085e-04  2.9371281811e-02   48.0781
   23  1.2559896214e-02     2.1140427822e-04  2.9055415348e-02   48.0167
   24  1.1626315771e-02     2.0283803634e-04  2.8997494134e-02   47.9992
   25  1.0723696284e-02     1.9421292967e-04  2.8913238131e-02   47.8460
   26  1.0317587426e-02     1.9023522977e-04  2.8822598317e-02   48.1453
   27  9.6637305816e-03     1.8360964131e-04  2.8743710292e-02   48.2897
   28  9.1681125147e-03     1.7845707657e-04  2.8629204919e-02   47.9467
   29  8.9466830692e-03     1.7610553416e-04  2.8579179022e-02   47.8692
   30  8.6252525748e-03     1.7262069560e-04  2.8529119943e-02   47.8999
