Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -681.594     -687.692        6.098   368.6
0.1000         -671.939     -680.040        8.100   489.6
0.1500         -684.872     -687.222        2.349   142.0
0.2000         -686.428     -688.437        2.009   121.4
0.2500         -677.238     -684.235        6.997   422.9
0.3000         -677.976     -684.584        6.608   399.4
0.3500         -685.077     -689.016        3.939   238.1
0.4000         -682.337     -687.505        5.168   312.3
0.4500         -678.887     -683.590        4.703   284.2
0.5000         -681.553     -685.889        4.336   262.1
0.5500         -683.422     -687.425        4.003   241.9
0.6000         -680.620     -686.437        5.817   351.6
0.6500         -678.505     -685.909        7.404   447.5
0.7000         -684.200     -688.522        4.322   261.3
0.7500         -683.101     -687.142        4.041   244.2
0.8000         -676.950     -682.667        5.717   345.6
0.8500         -679.110     -684.452        5.341   322.8
0.9000         -685.800     -689.399        3.600   217.6
0.9500         -682.969     -687.068        4.099   247.8
1.0000         -672.556     -681.803        9.247   558.9
1.0500         -682.039     -686.085        4.046   244.5
1.1000         -686.449     -688.847        2.398   144.9
1.1500         -680.187     -685.490        5.302   320.5
1.2000         -674.279     -682.250        7.971   481.7
1.2500         -684.366     -688.230        3.865   233.6
1.3000         -684.694     -688.435        3.741   226.1
1.3500         -677.601     -683.765        6.164   372.5
1.4000         -681.957     -686.180        4.223   255.2
1.4500         -684.764     -687.680        2.916   176.2
1.5000         -677.172     -684.455        7.282   440.2
1.5500         -682.023     -687.619        5.596   338.2
1.6000         -685.874     -688.850        2.976   179.9
1.6500         -679.320     -685.144        5.824   352.0
1.7000         -675.089     -681.364        6.275   379.2
1.7500         -683.974     -687.954        3.980   240.5
1.8000         -685.604     -689.186        3.583   216.5
1.8500         -678.807     -684.565        5.758   348.0
1.9000         -677.051     -682.764        5.714   345.3
1.9500         -682.933     -686.723        3.790   229.1
2.0000         -684.694     -688.427        3.733   225.6
2.0500         -679.915     -685.467        5.552   335.5
2.1000         -678.544     -684.386        5.842   353.1
2.1500         -682.847     -687.369        4.522   273.3
2.2000         -683.009     -687.286        4.277   258.5
2.2500         -678.148     -685.023        6.875   415.5
2.3000         -683.744     -688.014        4.270   258.1
2.3500         -683.248     -686.783        3.535   213.6
2.4000         -676.176     -683.544        7.368   445.3
2.4500         -680.068     -685.533        5.465   330.3
2.5000         -686.022     -689.488        3.466   209.5
2.5500         -682.002     -686.351        4.349   262.8
2.6000         -673.594     -681.305        7.711   466.0
2.6500         -682.538     -686.825        4.288   259.1
2.7000         -686.324     -689.056        2.732   165.1
2.7500         -678.658     -685.207        6.549   395.8
2.8000         -677.263     -683.570        6.307   381.2
2.8500         -684.148     -688.000        3.851   232.8
2.9000         -683.248     -687.363        4.115   248.7
2.9500         -678.550     -684.774        6.224   376.2
3.0000         -682.305     -686.336        4.031   243.6
3.0500         -683.206     -687.483        4.277   258.5
3.1000         -678.775     -684.769        5.994   362.3
3.1500         -680.480     -686.128        5.648   341.4
3.2000         -683.591     -687.763        4.172   252.1
3.2500         -682.991     -687.057        4.065   245.7
3.3000         -676.734     -683.050        6.316   381.7
3.3500         -679.372     -685.517        6.145   371.4
3.4000         -685.321     -688.576        3.255   196.7
3.4500         -682.652     -687.454        4.802   290.2
3.5000         -675.805     -682.213        6.408   387.3
3.5500         -681.404     -686.022        4.619   279.2
3.6000         -685.145     -687.961        2.816   170.2
3.6500         -679.925     -685.344        5.419   327.5
3.7000         -679.602     -684.886        5.284   319.4
3.7500         -683.738     -687.351        3.613   218.4
3.8000         -681.311     -686.344        5.032   304.2
3.8500         -678.566     -684.494        5.928   358.3
3.9000         -683.879     -688.000        4.122   249.1
3.9500         -683.191     -687.296        4.105   248.1
4.0000         -678.855     -684.219        5.363   324.2
4.0500         -678.538     -684.531        5.993   362.2
4.1000         -683.922     -688.345        4.423   267.3
4.1500         -683.739     -687.882        4.143   250.4
4.2000         -678.100     -684.236        6.135   370.8
4.2500         -678.455     -683.666        5.212   315.0
4.3000         -683.877     -687.777        3.899   235.7
4.3500         -683.548     -687.603        4.055   245.1
4.4000         -677.850     -684.330        6.481   391.7
4.4500         -681.962     -686.800        4.838   292.4
4.5000         -683.697     -687.442        3.744   226.3
4.5500         -678.494     -685.491        6.997   422.9
4.6000         -681.994     -686.673        4.679   282.8
4.6500         -684.498     -688.272        3.775   228.1
4.7000         -678.727     -685.237        6.510   393.4
4.7500         -678.751     -684.453        5.702   344.6
4.8000         -683.498     -687.714        4.216   254.8
4.8500         -683.940     -687.936        3.995   241.5
4.9000         -678.994     -684.105        5.111   308.9
4.9500         -678.093     -684.625        6.532   394.8
5.0000         -683.444     -687.358        3.915   236.6
