Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -661.411     -666.512        5.101   308.3
0.1000         -654.681     -664.893       10.211   617.2
0.1500         -669.882     -672.216        2.334   141.1
0.2000         -671.321     -675.763        4.441   268.4
0.2500         -666.856     -672.872        6.015   363.6
0.3000         -672.904     -676.163        3.259   197.0
0.3500         -673.671     -679.280        5.610   339.0
0.4000         -672.999     -680.493        7.493   452.9
0.4500         -672.696     -678.286        5.590   337.8
0.5000         -681.022     -682.730        1.708   103.2
0.5500         -677.480     -681.498        4.018   242.8
0.6000         -673.339     -683.771       10.432   630.5
0.6500         -677.621     -682.694        5.073   306.6
0.7000         -683.113     -686.240        3.127   189.0
0.7500         -677.404     -680.845        3.441   208.0
0.8000         -677.829     -683.592        5.763   348.3
0.8500         -678.922     -684.859        5.937   358.8
0.9000         -683.475     -688.268        4.793   289.7
0.9500         -675.590     -679.207        3.617   218.6
1.0000         -678.477     -683.130        4.653   281.2
1.0500         -679.939     -683.840        3.901   235.8
1.1000         -682.285     -688.526        6.241   377.2
1.1500         -671.650     -677.423        5.773   348.9
1.2000         -678.357     -682.936        4.579   276.7
1.2500         -679.373     -681.483        2.110   127.5
1.3000         -680.628     -685.980        5.352   323.5
1.3500         -671.365     -678.870        7.505   453.6
1.4000         -678.882     -684.238        5.356   323.7
1.4500         -678.071     -680.799        2.728   164.9
1.5000         -674.427     -680.384        5.957   360.0
1.5500         -678.285     -683.022        4.737   286.3
1.6000         -679.298     -683.862        4.564   275.9
1.6500         -676.847     -681.954        5.107   308.7
1.7000         -669.332     -675.580        6.249   377.7
1.7500         -682.460     -685.867        3.407   205.9
1.8000         -679.524     -682.708        3.185   192.5
1.8500         -678.500     -685.425        6.924   418.5
1.9000         -671.270     -677.599        6.329   382.6
1.9500         -680.324     -685.220        4.896   295.9
2.0000         -679.593     -683.010        3.416   206.5
2.0500         -682.685     -687.142        4.458   269.4
2.1000         -672.977     -679.656        6.679   403.7
2.1500         -678.887     -684.482        5.595   338.2
2.2000         -679.194     -683.444        4.250   256.9
2.2500         -680.042     -684.441        4.399   265.9
2.3000         -673.697     -680.700        7.003   423.3
2.3500         -680.121     -683.745        3.624   219.1
2.4000         -678.212     -683.157        4.945   298.9
2.4500         -674.478     -678.764        4.286   259.1
2.5000         -673.300     -680.998        7.698   465.3
2.5500         -681.137     -683.643        2.506   151.5
2.6000         -676.766     -683.242        6.476   391.4
2.6500         -671.023     -676.130        5.107   308.7
2.7000         -675.191     -681.464        6.274   379.2
2.7500         -681.265     -683.619        2.354   142.3
2.8000         -677.296     -683.546        6.251   377.8
2.8500         -673.833     -679.756        5.924   358.0
2.9000         -677.619     -683.737        6.118   369.8
2.9500         -681.383     -684.353        2.971   179.5
3.0000         -677.348     -683.655        6.307   381.2
3.0500         -679.273     -683.023        3.750   226.7
3.1000         -681.149     -686.199        5.050   305.2
3.1500         -680.791     -685.288        4.497   271.8
3.2000         -675.875     -683.676        7.801   471.5
3.2500         -682.302     -686.096        3.795   229.4
3.3000         -684.071     -687.433        3.362   203.2
3.3500         -680.003     -684.997        4.995   301.9
3.4000         -675.736     -683.900        8.164   493.5
3.4500         -683.319     -687.993        4.673   282.4
3.5000         -684.705     -687.743        3.039   183.6
3.5500         -678.403     -683.268        4.864   294.0
3.6000         -678.528     -684.322        5.794   350.2
3.6500         -683.983     -687.834        3.851   232.8
3.7000         -681.186     -686.540        5.355   323.6
3.7500         -676.514     -683.545        7.031   425.0
3.8000         -682.344     -685.350        3.007   181.7
3.8500         -683.600     -686.865        3.265   197.4
3.9000         -677.376     -683.857        6.481   391.7
3.9500         -676.707     -684.639        7.932   479.4
4.0000         -682.819     -686.446        3.627   219.2
4.0500         -682.610     -686.178        3.568   215.6
4.1000         -675.419     -680.796        5.377   325.0
4.1500         -677.866     -683.850        5.985   361.7
4.2000         -681.579     -685.707        4.128   249.5
4.2500         -680.958     -685.938        4.979   301.0
4.3000         -675.774     -681.337        5.563   336.2
4.3500         -679.383     -684.867        5.484   331.5
4.4000         -681.590     -684.789        3.200   193.4
4.4500         -677.724     -684.245        6.521   394.2
4.5000         -677.355     -682.685        5.331   322.2
4.5500         -682.196     -686.835        4.639   280.4
4.6000         -680.448     -684.070        3.622   218.9
4.6500         -675.211     -682.065        6.854   414.2
4.7000         -679.957     -684.256        4.299   259.8
4.7500         -683.332     -687.772        4.440   268.4
4.8000         -679.489     -684.241        4.751   287.2
4.8500         -674.811     -681.951        7.140   431.6
4.9000         -682.415     -685.906        3.492   211.0
4.9500         -682.747     -686.739        3.992   241.3
5.0000         -677.201     -683.849        6.648   401.8
