Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -591.616     -595.139        3.523   212.9
0.1000         -595.850     -609.318       13.468   814.0
0.1500         -620.072     -623.235        3.162   191.1
0.2000         -632.875     -635.496        2.621   158.4
0.2500         -631.057     -634.894        3.837   231.9
0.3000         -632.315     -636.893        4.578   276.7
0.3500         -632.212     -643.051       10.838   655.1
0.4000         -667.406     -668.979        1.573    95.1
0.4500         -659.847     -663.185        3.338   201.7
0.5000         -663.163     -667.527        4.363   263.7
0.5500         -649.979     -660.767       10.788   652.0
0.6000         -680.626     -682.389        1.764   106.6
0.6500         -670.150     -675.749        5.599   338.4
0.7000         -680.769     -683.009        2.241   135.4
0.7500         -670.635     -677.335        6.699   404.9
0.8000         -676.939     -680.812        3.873   234.1
0.8500         -678.095     -680.415        2.320   140.2
0.9000         -672.914     -680.151        7.237   437.4
0.9500         -677.519     -681.316        3.797   229.5
1.0000         -670.328     -674.785        4.457   269.4
1.0500         -666.501     -671.018        4.517   273.0
1.1000         -660.641     -667.468        6.827   412.6
1.1500         -669.405     -674.240        4.834   292.2
1.2000         -664.815     -668.828        4.014   242.6
1.2500         -660.028     -663.887        3.859   233.2
1.3000         -658.345     -667.654        9.309   562.7
1.3500         -674.693     -676.847        2.154   130.2
1.4000         -670.272     -676.838        6.566   396.9
1.4500         -667.674     -671.052        3.379   204.2
1.5000         -667.900     -675.657        7.757   468.8
1.5500         -682.103     -683.854        1.751   105.8
1.6000         -677.117     -683.053        5.936   358.8
1.6500         -672.402     -677.878        5.476   331.0
1.7000         -677.799     -682.717        4.919   297.3
1.7500         -681.562     -684.379        2.817   170.2
1.8000         -678.093     -684.415        6.322   382.1
1.8500         -675.735     -680.375        4.641   280.5
1.9000         -684.098     -687.978        3.880   234.5
1.9500         -673.362     -677.581        4.220   255.0
2.0000         -673.078     -679.378        6.300   380.8
2.0500         -672.625     -677.727        5.102   308.4
2.1000         -684.862     -687.547        2.685   162.3
2.1500         -669.865     -676.420        6.555   396.2
2.2000         -673.359     -677.701        4.342   262.4
2.2500         -670.842     -676.455        5.613   339.3
2.3000         -683.735     -687.043        3.309   200.0
2.3500         -673.361     -678.363        5.002   302.3
2.4000         -675.076     -681.667        6.591   398.4
2.4500         -675.716     -679.606        3.890   235.1
2.5000         -681.752     -686.253        4.501   272.0
2.5500         -675.826     -681.086        5.260   317.9
2.6000         -677.197     -682.602        5.404   326.6
2.6500         -680.206     -684.454        4.248   256.8
2.7000         -678.176     -681.989        3.813   230.5
2.7500         -671.129     -678.341        7.211   435.8
2.8000         -672.567     -679.061        6.495   392.5
2.8500         -682.009     -684.608        2.599   157.1
2.9000         -676.802     -681.450        4.648   280.9
2.9500         -671.178     -675.897        4.719   285.2
3.0000         -670.843     -679.489        8.646   522.6
3.0500         -684.180     -686.385        2.205   133.3
3.1000         -679.880     -684.449        4.569   276.2
3.1500         -674.160     -679.191        5.030   304.0
3.2000         -674.680     -680.880        6.200   374.7
3.2500         -684.363     -687.729        3.365   203.4
3.3000         -682.557     -687.156        4.599   277.9
3.3500         -676.637     -682.811        6.174   373.1
3.4000         -680.823     -685.685        4.862   293.8
3.4500         -681.221     -684.634        3.413   206.3
3.5000         -678.547     -683.976        5.429   328.1
3.5500         -675.191     -682.292        7.101   429.2
3.6000         -683.563     -686.919        3.356   202.9
3.6500         -678.847     -683.227        4.380   264.7
3.7000         -673.337     -678.174        4.836   292.3
3.7500         -673.523     -680.813        7.290   440.6
3.8000         -684.232     -687.048        2.816   170.2
3.8500         -680.877     -685.504        4.627   279.6
3.9000         -673.854     -679.670        5.816   351.5
3.9500         -679.593     -684.468        4.875   294.6
4.0000         -681.652     -685.531        3.880   234.5
4.0500         -679.559     -685.993        6.435   388.9
4.1000         -678.635     -683.199        4.564   275.9
4.1500         -683.929     -687.689        3.760   227.2
4.2000         -677.702     -682.552        4.850   293.1
4.2500         -674.729     -680.712        5.983   361.6
4.3000         -677.503     -683.082        5.579   337.2
4.3500         -685.458     -688.001        2.543   153.7
4.4000         -678.530     -684.009        5.479   331.1
4.4500         -671.620     -677.211        5.590   337.9
4.5000         -677.318     -683.093        5.775   349.0
4.5500         -684.545     -687.063        2.519   152.2
4.6000         -681.018     -685.478        4.460   269.6
4.6500         -671.155     -678.384        7.229   436.9
4.7000         -680.099     -684.648        4.548   274.9
4.7500         -680.446     -684.738        4.292   259.4
4.8000         -679.657     -685.756        6.099   368.6
4.8500         -678.755     -683.854        5.099   308.2
4.9000         -683.565     -686.891        3.326   201.0
4.9500         -675.758     -680.954        5.196   314.0
5.0000         -674.009     -680.433        6.424   388.2
