,devi_force,config_index,file_path
0,0.013278295,0.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0001/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.000
101,0.013278295,0.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0001/temp_run_iter_work/explore/md/md.000.sys.000/md.000.sys.000.t.001
202,0.004933423,0.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0001/temp_run_iter_work/explore/md/md.000.sys.001/md.000.sys.001.t.000
303,0.004933423,0.0,/data/home/wuxingxing/codespace/al_pwmlff/example/si_dftb/iter.0001/temp_run_iter_work/explore/md/md.000.sys.001/md.000.sys.001.t.001
