Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -591.415     -595.178        3.763   227.4
0.1000         -594.653     -610.033       15.380   929.5
0.1500         -620.766     -623.355        2.590   156.5
0.2000         -630.951     -634.193        3.242   195.9
0.2500         -628.763     -632.614        3.852   232.8
0.3000         -632.941     -637.597        4.656   281.4
0.3500         -635.399     -645.619       10.220   617.7
0.4000         -664.084     -665.663        1.579    95.4
0.4500         -657.473     -662.873        5.400   326.4
0.5000         -660.834     -663.517        2.683   162.2
0.5500         -647.521     -660.160       12.639   763.9
0.6000         -681.746     -682.785        1.039    62.8
0.6500         -668.062     -673.128        5.066   306.2
0.7000         -673.351     -675.896        2.545   153.8
0.7500         -671.045     -675.738        4.693   283.6
0.8000         -681.272     -683.190        1.917   115.9
0.8500         -671.029     -676.505        5.476   331.0
0.9000         -671.157     -678.126        6.969   421.2
0.9500         -678.845     -681.096        2.250   136.0
1.0000         -675.133     -679.458        4.326   261.4
1.0500         -668.602     -673.202        4.600   278.0
1.1000         -665.236     -674.266        9.030   545.8
1.1500         -672.093     -675.093        3.000   181.3
1.2000         -666.707     -671.501        4.793   289.7
1.2500         -661.136     -667.910        6.774   409.4
1.3000         -663.036     -669.967        6.930   418.9
1.3500         -668.618     -671.228        2.610   157.7
1.4000         -666.818     -673.525        6.706   405.3
1.4500         -666.852     -670.456        3.604   217.8
1.5000         -667.490     -676.328        8.839   534.2
1.5500         -675.935     -677.688        1.753   106.0
1.6000         -670.734     -677.302        6.568   397.0
1.6500         -667.815     -672.773        4.958   299.6
1.7000         -673.878     -679.372        5.494   332.1
1.7500         -678.004     -680.354        2.350   142.0
1.8000         -675.890     -682.169        6.279   379.5
1.8500         -668.769     -672.744        3.975   240.3
1.9000         -676.490     -682.072        5.582   337.4
1.9500         -673.980     -677.101        3.121   188.6
2.0000         -675.428     -680.506        5.078   306.9
2.0500         -664.622     -671.819        7.196   434.9
2.1000         -674.372     -678.487        4.115   248.7
2.1500         -671.204     -676.327        5.124   309.7
2.2000         -671.946     -675.735        3.789   229.0
2.2500         -663.291     -671.887        8.597   519.6
2.3000         -673.423     -676.648        3.225   194.9
2.3500         -670.130     -675.590        5.460   330.0
2.4000         -669.522     -673.982        4.460   269.6
2.4500         -666.560     -672.233        5.673   342.9
2.5000         -674.902     -678.082        3.179   192.2
2.5500         -671.119     -676.848        5.728   346.2
2.6000         -673.436     -678.218        4.782   289.0
2.6500         -673.396     -679.167        5.772   348.8
2.7000         -679.739     -683.173        3.434   207.5
2.7500         -676.142     -681.769        5.627   340.1
2.8000         -676.391     -681.446        5.055   305.5
2.8500         -681.221     -685.436        4.216   254.8
2.9000         -678.942     -683.026        4.084   246.8
2.9500         -677.789     -682.837        5.047   305.1
3.0000         -673.002     -678.237        5.235   316.4
3.0500         -682.365     -686.007        3.642   220.1
3.1000         -671.706     -676.235        4.529   273.7
3.1500         -674.745     -681.109        6.364   384.6
3.2000         -670.707     -674.894        4.187   253.1
3.2500         -679.329     -683.866        4.537   274.2
3.3000         -666.685     -672.816        6.131   370.6
3.3500         -676.862     -681.540        4.678   282.8
3.4000         -671.442     -676.295        4.853   293.3
3.4500         -680.349     -684.327        3.978   240.4
3.5000         -666.627     -673.675        7.048   426.0
3.5500         -678.862     -683.307        4.444   268.6
3.6000         -674.887     -678.599        3.712   224.4
3.6500         -679.555     -685.314        5.759   348.1
3.7000         -671.540     -676.542        5.002   302.3
3.7500         -678.082     -683.510        5.428   328.1
3.8000         -677.079     -680.440        3.361   203.2
3.8500         -675.980     -681.575        5.595   338.2
3.9000         -672.324     -678.074        5.749   347.5
3.9500         -675.705     -680.489        4.784   289.2
4.0000         -674.488     -678.346        3.859   233.2
4.0500         -670.113     -677.397        7.285   440.3
4.1000         -672.908     -677.469        4.561   275.7
4.1500         -675.161     -680.719        5.558   335.9
4.2000         -674.773     -677.893        3.120   188.6
4.2500         -668.936     -676.727        7.791   470.9
4.3000         -676.655     -680.014        3.360   203.1
4.3500         -677.852     -682.219        4.367   263.9
4.4000         -676.188     -680.626        4.438   268.2
4.4500         -674.467     -680.534        6.067   366.7
4.5000         -682.093     -685.666        3.573   216.0
4.5500         -680.740     -686.161        5.421   327.6
4.6000         -677.711     -682.140        4.429   267.7
4.6500         -679.948     -685.627        5.679   343.2
4.7000         -681.674     -685.071        3.396   205.3
4.7500         -679.323     -684.698        5.375   324.9
4.8000         -675.700     -681.570        5.870   354.8
4.8500         -680.032     -684.272        4.239   256.2
4.9000         -678.857     -683.748        4.891   295.6
4.9500         -676.170     -680.999        4.828   291.8
5.0000         -674.984     -680.977        5.992   362.2
