Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -681.444     -687.800        6.357   384.2
0.1000         -673.136     -679.689        6.553   396.1
0.1500         -685.088     -687.496        2.408   145.6
0.2000         -686.071     -688.451        2.380   143.9
0.2500         -676.282     -684.320        8.038   485.8
0.3000         -678.048     -684.848        6.800   411.0
0.3500         -685.615     -689.244        3.629   219.3
0.4000         -682.456     -687.382        4.926   297.7
0.4500         -677.400     -682.800        5.400   326.4
0.5000         -681.612     -685.563        3.951   238.8
0.5500         -683.790     -687.997        4.207   254.3
0.6000         -681.295     -687.087        5.791   350.0
0.6500         -678.257     -685.215        6.958   420.5
0.7000         -683.085     -687.805        4.721   285.3
0.7500         -683.428     -687.253        3.824   231.1
0.8000         -678.274     -684.171        5.897   356.4
0.8500         -679.939     -685.423        5.485   331.5
0.9000         -685.425     -689.059        3.634   219.6
0.9500         -681.528     -686.050        4.522   273.3
1.0000         -674.413     -682.159        7.745   468.1
1.0500         -683.395     -687.258        3.863   233.5
1.1000         -686.037     -688.608        2.571   155.4
1.1500         -677.072     -684.343        7.270   439.4
1.2000         -676.420     -684.096        7.676   463.9
1.2500         -685.731     -688.837        3.106   187.7
1.3000         -684.136     -687.647        3.512   212.2
1.3500         -675.369     -681.464        6.095   368.4
1.4000         -679.398     -685.042        5.644   341.1
1.4500         -686.189     -689.236        3.047   184.2
1.5000         -681.153     -686.826        5.673   342.9
1.5500         -677.037     -683.244        6.207   375.2
1.6000         -681.742     -686.522        4.780   288.9
1.6500         -684.568     -688.274        3.706   224.0
1.7000         -680.676     -684.952        4.276   258.5
1.7500         -678.441     -684.635        6.194   374.4
1.8000         -683.368     -687.978        4.611   278.7
1.8500         -683.232     -687.634        4.402   266.1
1.9000         -677.979     -683.796        5.817   351.6
1.9500         -681.090     -685.842        4.752   287.2
2.0000         -685.297     -688.323        3.025   182.8
2.0500         -680.220     -685.725        5.505   332.7
2.1000         -676.165     -683.072        6.907   417.5
2.1500         -684.303     -688.083        3.780   228.4
2.2000         -685.413     -688.870        3.457   208.9
2.2500         -676.397     -682.416        6.019   363.8
2.3000         -678.071     -683.801        5.730   346.3
2.3500         -685.270     -688.558        3.288   198.7
2.4000         -683.805     -688.214        4.410   266.5
2.4500         -675.502     -681.428        5.926   358.2
2.5000         -680.093     -685.803        5.711   345.2
2.5500         -685.692     -688.835        3.143   190.0
2.6000         -681.239     -687.351        6.111   369.4
2.6500         -676.268     -683.433        7.165   433.1
2.7000         -682.741     -686.754        4.013   242.5
2.7500         -684.445     -687.764        3.319   200.6
2.8000         -678.964     -685.298        6.334   382.8
2.8500         -679.838     -686.054        6.217   375.7
2.9000         -684.288     -687.771        3.483   210.5
2.9500         -681.646     -686.533        4.888   295.4
3.0000         -677.629     -682.882        5.253   317.5
3.0500         -683.393     -687.493        4.100   247.8
3.1000         -684.933     -688.584        3.651   220.7
3.1500         -679.308     -684.467        5.159   311.8
3.2000         -675.895     -683.624        7.729   467.2
3.2500         -684.750     -688.614        3.864   233.6
3.3000         -684.908     -688.536        3.628   219.3
3.3500         -676.878     -682.971        6.094   368.3
3.4000         -677.345     -683.320        5.975   361.1
3.4500         -684.643     -688.557        3.914   236.6
3.5000         -684.976     -688.344        3.368   203.5
3.5500         -675.334     -683.273        7.940   479.9
3.6000         -679.238     -684.339        5.101   308.3
3.6500         -685.163     -688.620        3.456   208.9
3.7000         -683.841     -687.527        3.687   222.8
3.7500         -675.894     -682.434        6.540   395.2
3.8000         -681.156     -686.396        5.240   316.7
3.8500         -684.654     -688.278        3.624   219.0
3.9000         -680.662     -686.641        5.979   361.4
3.9500         -678.195     -684.139        5.944   359.3
4.0000         -684.015     -687.802        3.788   228.9
4.0500         -683.102     -687.051        3.949   238.7
4.1000         -677.809     -684.214        6.405   387.1
4.1500         -681.854     -687.543        5.689   343.8
4.2000         -685.159     -688.120        2.960   178.9
4.2500         -678.603     -685.084        6.480   391.7
4.3000         -677.114     -682.893        5.779   349.3
4.3500         -685.068     -688.394        3.326   201.0
4.4000         -684.414     -688.464        4.050   244.8
4.4500         -677.249     -683.502        6.253   377.9
4.5000         -677.827     -684.397        6.570   397.1
4.5500         -685.418     -688.762        3.345   202.1
4.6000         -683.596     -687.431        3.835   231.8
4.6500         -676.479     -682.657        6.178   373.4
4.7000         -679.526     -684.909        5.383   325.4
4.7500         -685.334     -688.751        3.417   206.5
4.8000         -682.272     -686.927        4.655   281.3
4.8500         -676.784     -683.314        6.531   394.7
4.9000         -681.889     -686.694        4.805   290.4
4.9500         -684.698     -687.924        3.226   195.0
5.0000         -679.600     -685.278        5.679   343.2
