Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -661.682     -666.392        4.710   284.7
0.1000         -652.694     -662.888       10.193   616.1
0.1500         -667.655     -670.799        3.144   190.0
0.2000         -672.805     -676.077        3.273   197.8
0.2500         -668.052     -674.016        5.964   360.5
0.3000         -670.219     -674.152        3.934   237.8
0.3500         -672.954     -678.648        5.694   344.1
0.4000         -676.334     -681.692        5.358   323.9
0.4500         -671.485     -678.308        6.822   412.3
0.5000         -678.975     -682.205        3.230   195.2
0.5500         -678.173     -681.036        2.864   173.1
0.6000         -677.069     -684.205        7.136   431.3
0.6500         -674.623     -681.811        7.188   434.4
0.7000         -682.189     -686.671        4.482   270.9
0.7500         -679.809     -682.455        2.646   159.9
0.8000         -679.459     -683.887        4.428   267.6
0.8500         -675.418     -682.785        7.366   445.2
0.9000         -683.236     -688.621        5.385   325.5
0.9500         -678.310     -681.016        2.706   163.6
1.0000         -677.468     -682.644        5.176   312.9
1.0500         -676.962     -681.150        4.188   253.1
1.1000         -682.695     -689.028        6.333   382.8
1.1500         -674.589     -679.610        5.021   303.5
1.2000         -676.781     -681.888        5.108   308.7
1.2500         -677.015     -679.981        2.965   179.2
1.3000         -680.588     -684.890        4.302   260.0
1.3500         -673.491     -680.466        6.975   421.6
1.4000         -676.605     -682.954        6.350   383.8
1.4500         -677.973     -680.828        2.855   172.6
1.5000         -674.875     -680.173        5.298   320.2
1.5500         -678.279     -682.714        4.435   268.0
1.6000         -676.862     -682.897        6.035   364.7
1.6500         -679.373     -683.807        4.434   268.0
1.7000         -671.918     -677.349        5.430   328.2
1.7500         -679.583     -683.781        4.198   253.7
1.8000         -678.808     -682.256        3.448   208.4
1.8500         -681.904     -687.228        5.324   321.8
1.9000         -672.744     -679.236        6.492   392.4
1.9500         -678.716     -684.510        5.794   350.2
2.0000         -678.906     -683.023        4.117   248.8
2.0500         -683.272     -686.831        3.559   215.1
2.1000         -673.653     -680.515        6.861   414.7
2.1500         -681.693     -685.122        3.429   207.3
2.2000         -677.646     -682.737        5.091   307.7
2.2500         -678.536     -682.770        4.234   255.9
2.3000         -672.555     -680.303        7.748   468.3
2.3500         -682.437     -685.102        2.666   161.1
2.4000         -676.644     -681.956        5.311   321.0
2.4500         -673.740     -678.145        4.405   266.2
2.5000         -672.044     -680.060        8.016   484.5
2.5500         -682.270     -684.534        2.264   136.8
2.6000         -675.790     -682.237        6.447   389.6
2.6500         -673.109     -678.118        5.009   302.7
2.7000         -674.383     -680.992        6.609   399.5
2.7500         -681.496     -683.915        2.419   146.2
2.8000         -674.814     -681.267        6.453   390.0
2.8500         -677.055     -681.714        4.659   281.6
2.9000         -678.145     -683.515        5.370   324.6
2.9500         -679.705     -684.385        4.681   282.9
3.0000         -673.569     -680.113        6.544   395.5
3.0500         -681.703     -684.465        2.762   166.9
3.1000         -680.515     -684.542        4.027   243.4
3.1500         -678.590     -684.275        5.685   343.6
3.2000         -673.481     -682.234        8.754   529.1
3.2500         -684.087     -687.162        3.075   185.8
3.3000         -680.360     -684.224        3.864   233.6
3.3500         -678.515     -683.228        4.714   284.9
3.4000         -676.407     -682.866        6.460   390.4
3.4500         -684.046     -688.197        4.151   250.9
3.5000         -678.024     -683.097        5.073   306.6
3.5500         -678.429     -683.558        5.129   310.0
3.6000         -679.392     -683.524        4.132   249.7
3.6500         -684.140     -688.014        3.874   234.1
3.7000         -673.573     -681.085        7.512   454.0
3.7500         -679.262     -684.590        5.327   322.0
3.8000         -680.914     -683.884        2.970   179.5
3.8500         -683.208     -686.860        3.652   220.7
3.9000         -672.301     -680.170        7.868   475.6
3.9500         -679.941     -685.898        5.957   360.0
4.0000         -680.806     -684.120        3.314   200.3
4.0500         -681.635     -685.605        3.971   240.0
4.1000         -674.868     -679.994        5.126   309.8
4.1500         -680.946     -686.195        5.250   317.3
4.2000         -679.447     -683.642        4.196   253.6
4.2500         -677.858     -684.270        6.412   387.5
4.3000         -678.632     -682.366        3.734   225.7
4.3500         -681.534     -685.935        4.401   266.0
4.4000         -676.964     -682.608        5.644   341.1
4.4500         -675.983     -682.094        6.111   369.4
4.5000         -680.920     -684.113        3.192   193.0
4.5500         -680.749     -684.558        3.809   230.2
4.6000         -675.444     -682.084        6.640   401.3
4.6500         -676.176     -682.785        6.609   399.4
4.7000         -681.180     -684.614        3.434   207.5
4.7500         -678.592     -682.120        3.528   213.2
4.8000         -675.640     -681.775        6.135   370.8
4.8500         -677.791     -683.783        5.992   362.2
4.9000         -680.565     -684.810        4.245   256.6
4.9500         -675.634     -680.585        4.950   299.2
5.0000         -678.237     -682.428        4.191   253.3
