epoch              loss   RMSE_Etot_per_atom            RMSE_F      time
    1  6.0733491659e+01     1.5215054652e-02  2.1842456824e-01   49.9894
    2  4.8117971538e+00     4.2824711868e-03  6.4743162403e-02   47.9656
    3  3.3446144151e-01     1.1277987386e-03  3.2134481980e-02   48.0621
    4  3.6035029710e-01     1.1708302895e-03  3.1494144728e-02   47.8680
    5  1.7025637379e-01     8.0364402495e-04  3.0859649326e-02   48.0234
    6  1.5555048892e-01     7.6797954929e-04  3.0657799904e-02   47.9297
    7  1.0959105516e-01     6.4381772434e-04  3.0529269373e-02   47.9044
    8  6.2812069611e-02     4.8593962613e-04  3.0167663676e-02   48.0863
    9  1.0813547558e-01     6.3955808080e-04  3.0158339807e-02   47.6133
   10  6.8296030781e-02     5.0701777872e-04  3.0123940790e-02   47.9138
   11  4.6894740032e-02     4.1888708154e-04  2.9954623291e-02   48.0995
   12  4.3137107074e-02     4.0141893300e-04  2.9932715578e-02   48.1942
   13  4.9729460289e-02     4.3161184143e-04  2.9916114524e-02   48.1051
   14  3.5202742386e-02     3.6178578613e-04  2.9849424693e-02   47.8806
   15  2.8593762368e-02     3.2511839491e-04  2.9742645457e-02   47.8831
   16  2.8551814615e-02     3.2489160632e-04  2.9687053140e-02   48.3371
   17  1.9942903161e-02     2.6966461783e-04  2.9665670780e-02   47.9616
   18  1.8077033879e-02     2.5615564907e-04  2.9601815476e-02   47.9120
   19  1.5980957007e-02     2.4005471272e-04  2.9573254272e-02   48.0449
   20  1.5375527362e-02     2.3522193016e-04  2.9517258521e-02   48.0813
   21  1.4363701071e-02     2.2694959574e-04  2.9354403592e-02   47.9447
   22  1.3632111347e-02     2.2072025621e-04  2.9344999296e-02   48.1136
   23  1.3611813329e-02     2.2055559465e-04  2.9323687609e-02   47.9422
   24  1.2226585620e-02     2.0823244463e-04  2.9322771195e-02   48.0242
   25  1.2385629788e-02     2.0970595498e-04  2.9281926518e-02   47.7738
   26  1.1774808591e-02     2.0414145665e-04  2.9159718447e-02   48.1567
   27  1.1350751447e-02     2.0019582842e-04  2.9059375345e-02   48.2837
   28  1.1022867836e-02     1.9713255854e-04  2.8907186991e-02   47.9118
   29  1.1128722761e-02     1.9817836449e-04  2.8863561826e-02   47.8815
   30  1.0594661383e-02     1.9298437122e-04  2.8838184779e-02   47.8824
