Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -681.906     -687.751        5.845   353.3
0.1000         -672.450     -679.650        7.201   435.2
0.1500         -683.918     -686.657        2.739   165.6
0.2000         -685.808     -687.993        2.185   132.0
0.2500         -677.678     -685.678        8.000   483.5
0.3000         -681.961     -686.649        4.688   283.3
0.3500         -683.877     -687.870        3.992   241.3
0.4000         -677.005     -684.465        7.460   450.9
0.4500         -682.308     -686.426        4.118   248.9
0.5000         -685.855     -688.936        3.081   186.2
0.5500         -680.043     -685.175        5.132   310.2
0.6000         -674.561     -682.050        7.489   452.6
0.6500         -682.080     -687.103        5.023   303.6
0.7000         -686.373     -689.553        3.181   192.2
0.7500         -679.158     -685.474        6.315   381.7
0.8000         -677.126     -682.436        5.310   320.9
0.8500         -681.535     -685.729        4.194   253.5
0.9000         -684.116     -688.493        4.377   264.5
0.9500         -681.178     -686.160        4.982   301.1
1.0000         -679.338     -685.465        6.127   370.3
1.0500         -682.933     -686.543        3.609   218.2
1.1000         -681.452     -685.571        4.119   249.0
1.1500         -677.919     -685.252        7.333   443.2
1.2000         -684.560     -688.943        4.383   264.9
1.2500         -683.987     -687.727        3.740   226.1
1.3000         -674.051     -681.761        7.710   466.0
1.3500         -679.469     -683.499        4.030   243.6
1.4000         -686.115     -689.120        3.005   181.6
1.4500         -683.877     -688.373        4.496   271.7
1.5000         -673.792     -681.843        8.051   486.6
1.5500         -681.231     -686.597        5.366   324.3
1.6000         -685.381     -688.458        3.077   186.0
1.6500         -681.137     -686.384        5.247   317.1
1.7000         -679.005     -684.548        5.543   335.0
1.7500         -682.745     -687.032        4.287   259.1
1.8000         -681.407     -686.940        5.533   334.4
1.8500         -679.252     -685.607        6.355   384.1
1.9000         -682.371     -687.002        4.631   279.9
1.9500         -683.785     -687.907        4.122   249.1
2.0000         -680.347     -684.505        4.158   251.3
2.0500         -675.352     -682.606        7.254   438.5
2.1000         -683.695     -688.337        4.642   280.5
2.1500         -685.550     -688.644        3.093   187.0
2.2000         -677.073     -684.317        7.244   437.8
2.2500         -676.996     -682.460        5.463   330.2
2.3000         -685.076     -688.114        3.038   183.6
2.3500         -682.771     -687.821        5.050   305.2
2.4000         -678.637     -685.321        6.685   404.0
2.4500         -682.775     -686.920        4.145   250.5
2.5000         -682.737     -686.786        4.049   244.7
2.5500         -677.685     -683.062        5.377   325.0
2.6000         -682.439     -687.771        5.332   322.3
2.6500         -686.034     -688.952        2.918   176.4
2.7000         -678.456     -684.035        5.578   337.2
2.7500         -675.022     -682.196        7.173   433.6
2.8000         -684.759     -687.556        2.797   169.0
2.8500         -685.027     -688.730        3.702   223.8
2.9000         -677.331     -684.542        7.211   435.9
2.9500         -680.135     -685.122        4.987   301.4
3.0000         -682.363     -687.338        4.976   300.7
3.0500         -682.783     -686.766        3.982   240.7
3.1000         -679.936     -685.334        5.398   326.3
3.1500         -682.710     -687.421        4.711   284.8
3.2000         -682.208     -686.558        4.351   262.9
3.2500         -677.989     -684.684        6.696   404.7
3.3000         -680.412     -685.755        5.343   322.9
3.3500         -685.752     -688.938        3.186   192.6
3.4000         -681.996     -686.596        4.599   278.0
3.4500         -675.528     -680.948        5.420   327.6
3.5000         -681.592     -686.769        5.177   312.9
3.5500         -686.079     -689.426        3.347   202.3
3.6000         -680.269     -686.283        6.014   363.5
3.6500         -677.162     -683.867        6.705   405.2
3.7000         -683.799     -686.829        3.029   183.1
3.7500         -682.590     -686.590        4.001   241.8
3.8000         -678.812     -685.749        6.937   419.2
3.8500         -683.591     -687.718        4.126   249.4
3.9000         -683.410     -687.355        3.945   238.4
3.9500         -675.190     -682.459        7.269   439.3
4.0000         -681.758     -686.093        4.335   262.0
4.0500         -685.771     -688.744        2.973   179.7
4.1000         -681.293     -686.180        4.888   295.4
4.1500         -674.506     -682.025        7.518   454.4
4.2000         -682.844     -687.385        4.541   274.5
4.2500         -685.202     -688.219        3.017   182.3
4.3000         -678.923     -684.763        5.840   353.0
4.3500         -680.183     -684.954        4.771   288.4
4.4000         -683.419     -687.359        3.940   238.2
4.4500         -680.346     -686.586        6.241   377.2
4.5000         -680.340     -685.286        4.946   298.9
4.5500         -683.491     -688.096        4.605   278.3
4.6000         -682.880     -687.273        4.392   265.5
4.6500         -678.643     -683.599        4.955   299.5
4.7000         -677.718     -684.630        6.912   417.7
4.7500         -685.707     -688.983        3.276   198.0
4.8000         -683.304     -687.733        4.429   267.7
4.8500         -675.745     -682.419        6.674   403.4
4.9000         -679.647     -684.415        4.768   288.2
4.9500         -684.861     -688.459        3.598   217.5
5.0000         -682.296     -687.237        4.941   298.6
