Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -637.860     -642.675        4.814   291.0
0.1000         -635.494     -641.095        5.601   338.5
0.1500         -640.431     -643.412        2.981   180.2
0.2000         -637.607     -643.996        6.390   386.2
0.2500         -641.319     -645.066        3.747   226.5
0.3000         -639.885     -645.477        5.591   337.9
0.3500         -641.173     -645.607        4.434   268.0
0.4000         -640.738     -646.097        5.359   323.9
0.4500         -641.455     -646.077        4.622   279.3
0.5000         -640.854     -645.841        4.987   301.4
0.5500         -641.050     -645.984        4.934   298.2
0.6000         -641.200     -645.896        4.696   283.8
0.6500         -640.761     -645.989        5.228   316.0
0.7000         -642.035     -646.207        4.172   252.2
0.7500         -640.942     -646.282        5.340   322.7
0.8000         -642.159     -646.235        4.076   246.4
0.8500         -641.005     -646.784        5.778   349.2
0.9000         -642.291     -647.066        4.775   288.6
0.9500         -642.416     -647.175        4.759   287.6
1.0000         -641.750     -646.939        5.189   313.6
1.0500         -642.147     -647.378        5.232   316.2
1.1000         -642.781     -647.442        4.661   281.7
1.1500         -642.153     -647.330        5.176   312.8
1.2000         -643.276     -647.110        3.834   231.7
1.2500         -641.880     -647.000        5.120   309.5
1.3000         -642.919     -647.671        4.752   287.2
1.3500         -643.349     -648.116        4.767   288.1
1.4000         -642.032     -647.261        5.228   316.0
1.4500         -642.850     -647.765        4.915   297.1
1.5000         -644.017     -648.196        4.179   252.6
1.5500         -641.819     -647.454        5.636   340.6
1.6000         -643.638     -648.005        4.367   264.0
1.6500         -643.160     -648.255        5.094   307.9
1.7000         -642.568     -647.504        4.936   298.3
1.7500         -642.644     -648.073        5.428   328.1
1.8000         -643.680     -648.193        4.513   272.8
1.8500         -642.360     -648.149        5.789   349.9
1.9000         -643.678     -648.045        4.368   264.0
1.9500         -642.958     -648.277        5.319   321.5
2.0000         -643.358     -648.013        4.655   281.4
2.0500         -643.404     -648.377        4.973   300.6
2.1000         -643.294     -648.289        4.995   301.9
2.1500         -643.359     -648.709        5.351   323.4
2.2000         -644.017     -648.708        4.691   283.5
2.2500         -643.751     -648.873        5.122   309.6
2.3000         -644.220     -648.618        4.399   265.9
2.3500         -643.312     -648.355        5.043   304.8
2.4000         -644.900     -649.103        4.203   254.0
2.4500         -644.829     -649.874        5.045   304.9
2.5000         -645.246     -649.916        4.669   282.2
2.5500         -644.998     -650.438        5.440   328.8
2.6000         -645.737     -650.319        4.582   276.9
2.6500         -644.876     -650.308        5.432   328.3
2.7000         -645.817     -650.932        5.115   309.2
2.7500         -646.709     -651.847        5.138   310.6
2.8000         -646.397     -651.956        5.559   336.0
2.8500         -646.537     -651.332        4.794   289.8
2.9000         -645.668     -651.502        5.834   352.6
2.9500         -647.787     -651.964        4.177   252.5
3.0000         -646.315     -651.912        5.597   338.3
3.0500         -646.745     -651.989        5.244   317.0
3.1000         -647.701     -652.681        4.981   301.0
3.1500         -648.413     -652.990        4.576   276.6
3.2000         -648.710     -653.081        4.371   264.2
3.2500         -648.674     -653.310        4.636   280.2
3.3000         -649.159     -653.828        4.669   282.2
3.3500         -648.669     -653.534        4.864   294.0
3.4000         -648.879     -653.401        4.522   273.3
3.4500         -648.987     -653.466        4.479   270.7
3.5000         -648.162     -653.611        5.449   329.4
3.5500         -650.006     -654.196        4.190   253.3
3.6000         -649.072     -654.302        5.230   316.1
3.6500         -647.989     -652.978        4.989   301.5
3.7000         -647.996     -653.220        5.225   315.8
3.7500         -650.015     -654.351        4.336   262.1
3.8000         -650.014     -654.600        4.586   277.2
3.8500         -649.097     -654.140        5.043   304.8
3.9000         -649.697     -654.355        4.658   281.6
3.9500         -650.613     -655.238        4.625   279.6
4.0000         -650.010     -654.652        4.642   280.5
4.0500         -648.787     -653.918        5.131   310.1
4.1000         -649.629     -654.843        5.214   315.2
4.1500         -649.926     -654.805        4.880   294.9
4.2000         -649.598     -654.631        5.034   304.2
4.2500         -650.234     -654.987        4.753   287.3
4.3000         -651.097     -655.426        4.328   261.6
4.3500         -650.233     -655.733        5.500   332.4
4.4000         -651.105     -655.633        4.528   273.7
4.4500         -651.194     -656.192        4.998   302.1
4.5000         -651.556     -656.611        5.055   305.5
4.5500         -651.356     -656.059        4.703   284.3
4.6000         -650.863     -655.455        4.592   277.6
4.6500         -651.045     -655.798        4.752   287.2
4.7000         -651.427     -656.390        4.963   300.0
4.7500         -652.093     -656.586        4.493   271.6
4.8000         -651.151     -656.537        5.386   325.5
4.8500         -651.567     -656.087        4.520   273.2
4.9000         -650.960     -656.136        5.176   312.8
4.9500         -651.053     -656.217        5.165   312.1
5.0000         -651.693     -656.459        4.766   288.1
