Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -591.444     -595.126        3.683   222.6
0.1000         -594.048     -607.271       13.223   799.2
0.1500         -617.756     -620.969        3.213   194.2
0.2000         -629.670     -632.570        2.900   175.3
0.2500         -628.029     -632.521        4.491   271.4
0.3000         -630.315     -634.355        4.040   244.2
0.3500         -629.040     -641.597       12.557   759.0
0.4000         -664.786     -666.011        1.225    74.0
0.4500         -658.451     -661.645        3.195   193.1
0.5000         -659.626     -664.390        4.763   287.9
0.5500         -641.645     -654.015       12.370   747.6
0.6000         -680.686     -682.786        2.101   127.0
0.6500         -669.224     -673.673        4.449   268.9
0.7000         -683.377     -685.840        2.463   148.9
0.7500         -666.719     -674.991        8.272   500.0
0.8000         -674.680     -677.706        3.026   182.9
0.8500         -680.469     -683.635        3.166   191.3
0.9000         -684.398     -686.299        1.901   114.9
0.9500         -674.482     -681.276        6.793   410.6
1.0000         -673.191     -678.898        5.707   344.9
1.0500         -681.074     -684.191        3.117   188.4
1.1000         -677.156     -681.051        3.895   235.4
1.1500         -675.586     -681.614        6.028   364.3
1.2000         -673.737     -679.894        6.157   372.1
1.2500         -676.199     -679.816        3.617   218.6
1.3000         -669.158     -674.314        5.157   311.7
1.3500         -674.469     -679.948        5.479   331.1
1.4000         -675.281     -680.302        5.022   303.5
1.4500         -674.646     -679.026        4.380   264.7
1.5000         -666.806     -672.432        5.626   340.0
1.5500         -676.571     -680.060        3.489   210.9
1.6000         -676.175     -680.977        4.802   290.2
1.6500         -677.371     -682.558        5.188   313.5
1.7000         -669.526     -676.195        6.669   403.1
1.7500         -676.113     -680.594        4.480   270.8
1.8000         -677.017     -680.562        3.545   214.2
1.8500         -677.743     -682.376        4.633   280.0
1.9000         -671.782     -677.435        5.653   341.7
1.9500         -673.934     -680.710        6.776   409.5
2.0000         -678.182     -681.353        3.172   191.7
2.0500         -675.625     -680.249        4.625   279.5
2.1000         -670.736     -676.158        5.422   327.7
2.1500         -674.834     -680.961        6.127   370.3
2.2000         -679.939     -683.426        3.487   210.7
2.2500         -673.289     -680.480        7.191   434.6
2.3000         -673.564     -677.168        3.603   217.8
2.3500         -678.552     -682.945        4.393   265.5
2.4000         -682.484     -686.617        4.134   249.8
2.4500         -676.423     -683.107        6.684   404.0
2.5000         -675.226     -679.826        4.600   278.0
2.5500         -682.115     -685.468        3.353   202.7
2.6000         -683.841     -687.357        3.515   212.5
2.6500         -677.679     -685.117        7.438   449.5
2.7000         -673.273     -678.709        5.436   328.5
2.7500         -682.278     -685.845        3.567   215.6
2.8000         -680.983     -683.992        3.008   181.8
2.8500         -674.764     -681.758        6.993   422.7
2.9000         -671.594     -678.999        7.405   447.6
2.9500         -682.125     -685.317        3.193   193.0
3.0000         -679.998     -683.999        4.001   241.8
3.0500         -675.459     -679.638        4.178   252.5
3.1000         -674.809     -681.640        6.831   412.9
3.1500         -681.102     -684.680        3.579   216.3
3.2000         -679.728     -685.134        5.406   326.7
3.2500         -674.883     -679.949        5.066   306.2
3.3000         -678.388     -683.136        4.748   287.0
3.3500         -679.559     -683.652        4.094   247.4
3.4000         -680.684     -685.240        4.556   275.4
3.4500         -671.812     -679.364        7.552   456.5
3.5000         -680.403     -684.614        4.211   254.5
3.5500         -679.163     -682.779        3.616   218.5
3.6000         -679.756     -684.422        4.667   282.1
3.6500         -671.873     -679.137        7.264   439.0
3.7000         -681.473     -686.250        4.776   288.7
3.7500         -679.299     -683.143        3.844   232.3
3.8000         -678.244     -683.372        5.128   310.0
3.8500         -675.855     -680.545        4.689   283.4
3.9000         -682.770     -687.112        4.341   262.4
3.9500         -679.921     -684.962        5.041   304.7
4.0000         -676.244     -682.038        5.793   350.1
4.0500         -679.664     -683.456        3.791   229.2
4.1000         -681.619     -684.853        3.233   195.4
4.1500         -677.182     -683.687        6.505   393.2
4.2000         -674.213     -681.211        6.999   423.0
4.2500         -680.583     -684.167        3.584   216.6
4.3000         -679.023     -682.848        3.825   231.2
4.3500         -675.245     -680.858        5.613   339.3
4.4000         -676.397     -683.385        6.988   422.3
4.4500         -681.183     -684.202        3.020   182.5
4.5000         -676.497     -683.269        6.772   409.3
4.5500         -676.658     -682.115        5.457   329.8
4.6000         -681.642     -686.437        4.795   289.8
4.6500         -679.648     -684.114        4.466   269.9
4.7000         -676.910     -682.283        5.373   324.8
4.7500         -679.078     -682.705        3.627   219.2
4.8000         -683.663     -687.138        3.474   210.0
4.8500         -677.280     -683.137        5.857   354.0
4.9000         -676.371     -683.615        7.244   437.8
4.9500         -680.113     -683.750        3.637   219.8
5.0000         -681.086     -685.911        4.825   291.6
