epoch              loss   RMSE_Etot_per_atom            RMSE_F      time
    1  1.7617743448e+02     2.5920714673e-02  2.1730068287e-01   49.7300
    2  2.2912995716e+00     2.9542354726e-03  5.8616695225e-02   47.7172
    3  2.4826056358e-01     9.7139414631e-04  2.9995971547e-02   47.5501
    4  2.0817091324e-01     8.8929560116e-04  2.9243884202e-02   47.7551
    5  1.2350331643e-01     6.8404520497e-04  2.9007956470e-02   47.8392
    6  8.9570132442e-02     5.8182080562e-04  2.8815592210e-02   47.7097
    7  5.1197413422e-02     4.3834694830e-04  2.8756838611e-02   47.7667
    8  4.0322307590e-02     3.8816803777e-04  2.8703849567e-02   47.8744
    9  3.2094286645e-02     3.4537947071e-04  2.8704021981e-02   47.7920
   10  2.9176506291e-02     3.2888679096e-04  2.8658362470e-02   47.7178
   11  2.4826906394e-02     3.0262698183e-04  2.8617281743e-02   47.7531
   12  1.9036520324e-02     2.6362112425e-04  2.8610058249e-02   47.8641
   13  1.6803444927e-02     2.4695660116e-04  2.8564335271e-02   47.8241
   14  1.4897604374e-02     2.3176338894e-04  2.8578509122e-02   47.6336
   15  1.4210671615e-02     2.2605548977e-04  2.8545208557e-02   47.7297
   16  1.4074627665e-02     2.2491475138e-04  2.8524412273e-02   47.7236
   17  1.3306513443e-02     2.1831010440e-04  2.8511637322e-02   47.6056
   18  1.2670550060e-02     2.1269671204e-04  2.8481291971e-02   47.6987
   19  1.2258946952e-02     2.0898630494e-04  2.8455851617e-02   47.7975
   20  1.1540333082e-02     2.0233778876e-04  2.8425437187e-02   47.8146
   21  1.1278943483e-02     1.9986477321e-04  2.8414050155e-02   47.5081
   22  1.0712588823e-02     1.9439385744e-04  2.8397827332e-02   47.5845
   23  1.0547831181e-02     1.9278455118e-04  2.8372837395e-02   47.5967
   24  1.0129197794e-02     1.8862524473e-04  2.8324014824e-02   47.7036
   25  9.2046329046e-03     1.7904464061e-04  2.8303481521e-02   47.6642
   26  9.1097553564e-03     1.7805847581e-04  2.8258216698e-02   47.7937
   27  8.6231966559e-03     1.7280737315e-04  2.8194871166e-02   47.7548
   28  8.2452938444e-03     1.6863208974e-04  2.8120493330e-02   47.7317
   29  8.1024534096e-03     1.6706415454e-04  2.8033929330e-02   47.7414
   30  7.4910108994e-03     1.6002921308e-04  2.7886801618e-02   47.8832
